feature	chromosome	start	end	SLX-17921.D706tp_D501tp.H5J55BBXY.s_8.r_1	SLX-16150.D704tp_D506tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	0.999	1.049
1:2000001-2500000	1	2000001	2500000	0.978	0.953
1:3000001-3500000	1	3000001	3500000	0.953	0.996
1:3500001-4000000	1	3500001	4000000	0.908	0.909
1:4000001-4500000	1	4000001	4500000	0.997	0.989
1:4500001-5000000	1	4500001	5000000	0.968	1.08
1:5000001-5500000	1	5000001	5500000	0.909	1.009
1:6000001-6500000	1	6000001	6500000	1.017	0.991
1:6500001-7000000	1	6500001	7000000	0.996	0.901
1:7000001-7500000	1	7000001	7500000	1.016	1.016
1:7500001-8000000	1	7500001	8000000	0.988	0.979
1:8000001-8500000	1	8000001	8500000	1.061	1.072
1:9000001-9500000	1	9000001	9500000	1.036	0.889
1:10000001-10500000	1	10000001	10500000	1.101	0.951
1:10500001-11000000	1	10500001	11000000	0.961	0.845
1:11000001-11500000	1	11000001	11500000	1.08	1.065
1:11500001-12000000	1	11500001	12000000	1.06	0.895
1:12000001-12500000	1	12000001	12500000	1.063	1.138
1:13500001-14000000	1	13500001	14000000	1.003	0.961
1:14000001-14500000	1	14000001	14500000	1.07	1.042
1:14500001-15000000	1	14500001	15000000	1.108	1.018
1:15000001-15500000	1	15000001	15500000	1.059	1.007
1:15500001-16000000	1	15500001	16000000	1.022	0.899
1:16000001-16500000	1	16000001	16500000	0.957	0.916
1:17000001-17500000	1	17000001	17500000	1.025	1.127
1:17500001-18000000	1	17500001	18000000	1.137	1.057
1:18000001-18500000	1	18000001	18500000	1.102	1.096
1:18500001-19000000	1	18500001	19000000	1	1.079
1:19000001-19500000	1	19000001	19500000	0.896	0.953
1:19500001-20000000	1	19500001	20000000	1.078	0.945
1:20000001-20500000	1	20000001	20500000	1.084	1.026
1:20500001-21000000	1	20500001	21000000	0.975	0.967
1:21000001-21500000	1	21000001	21500000	0.791	0.996
1:21500001-22000000	1	21500001	22000000	1.153	0.952
1:22000001-22500000	1	22000001	22500000	0.906	0.918
1:22500001-23000000	1	22500001	23000000	1.013	1.033
1:23000001-23500000	1	23000001	23500000	1.002	1.039
1:23500001-24000000	1	23500001	24000000	1.027	1.112
1:24000001-24500000	1	24000001	24500000	1.135	1.016
1:24500001-25000000	1	24500001	25000000	1.076	0.982
1:25000001-25500000	1	25000001	25500000	1.087	0.753
1:25500001-26000000	1	25500001	26000000	1.172	0.906
1:26000001-26500000	1	26000001	26500000	1.062	0.944
1:26500001-27000000	1	26500001	27000000	0.908	0.987
1:27000001-27500000	1	27000001	27500000	0.838	1.035
1:27500001-28000000	1	27500001	28000000	0.952	1.022
1:28000001-28500000	1	28000001	28500000	0.885	0.738
1:28500001-29000000	1	28500001	29000000	0.951	0.841
1:29000001-29500000	1	29000001	29500000	1.072	1.015
1:29500001-30000000	1	29500001	30000000	1.066	0.904
1:30000001-30500000	1	30000001	30500000	1.07	1.105
1:30500001-31000000	1	30500001	31000000	1.046	0.991
1:31000001-31500000	1	31000001	31500000	1.066	0.917
1:31500001-32000000	1	31500001	32000000	0.938	1.084
1:32500001-33000000	1	32500001	33000000	1.001	1.081
1:33000001-33500000	1	33000001	33500000	0.87	0.972
1:34000001-34500000	1	34000001	34500000	1.029	0.911
1:34500001-35000000	1	34500001	35000000	1.156	1.088
1:35000001-35500000	1	35000001	35500000	0.938	1.066
1:35500001-36000000	1	35500001	36000000	0.953	0.994
1:36000001-36500000	1	36000001	36500000	1.153	0.853
1:36500001-37000000	1	36500001	37000000	1.084	1.107
1:37000001-37500000	1	37000001	37500000	0.969	1.203
1:37500001-38000000	1	37500001	38000000	1.04	1.056
1:38000001-38500000	1	38000001	38500000	1.062	1.147
1:39000001-39500000	1	39000001	39500000	1.061	1.035
