feature	chromosome	start	end	SLX-16150.D708tp_D504tp.HC22VBBXY.s_3.r_1	SLX-16150.D709tp_D504tp.HC22VBBXY.s_3.r_1	SLX-16150.D709tp_D508tp.HC22VBBXY.s_3.r_1	SLX-16150.D712tp_D501tp.HC22VBBXY.s_3.r_1
2:229500001-230000000	2	229500001	230000000	1.083	1.074	0.986	0.996
2:230000001-230500000	2	230000001	230500000	1.049	1.014	1.07	0.905
2:230500001-231000000	2	230500001	231000000	1.065	1.005	1.08	1.02
2:231000001-231500000	2	231000001	231500000	1.032	0.896	1.031	0.898
2:231500001-232000000	2	231500001	232000000	1.102	1.046	0.99	0.968
2:232000001-232500000	2	232000001	232500000	1.003	0.981	1.025	1.014
2:232500001-233000000	2	232500001	233000000	1.007	0.984	1.01	0.99
2:233000001-233500000	2	233000001	233500000	0.965	0.98	0.911	0.898
2:233500001-234000000	2	233500001	234000000	1.058	1.004	1.052	1.022
2:234000001-234500000	2	234000001	234500000	1.036	1.022	1.052	1.125
2:234500001-235000000	2	234500001	235000000	1.043	1.005	0.941	1.013
2:235000001-235500000	2	235000001	235500000	0.959	0.99	0.958	0.929
2:235500001-236000000	2	235500001	236000000	0.999	0.986	1.012	0.992
2:236000001-236500000	2	236000001	236500000	1.058	1.057	0.991	1.018
2:236500001-237000000	2	236500001	237000000	1.076	0.919	0.999	1.025
2:237000001-237500000	2	237000001	237500000	1.112	1.08	1.017	1.062
2:238000001-238500000	2	238000001	238500000	0.931	0.991	0.957	0.959
2:238500001-239000000	2	238500001	239000000	1.028	0.959	0.88	1.021
2:239000001-239500000	2	239000001	239500000	1.006	0.957	1.041	0.993
2:239500001-240000000	2	239500001	240000000	1.024	1.014	1.099	0.941
2:240000001-240500000	2	240000001	240500000	1.042	1.012	1.014	1.021
2:240500001-241000000	2	240500001	241000000	1.088	1.055	1.145	1.001
2:241000001-241500000	2	241000001	241500000	1.056	0.927	1.019	1.007
2:241500001-242000000	2	241500001	242000000	0.904	0.882	0.881	0.819
3:1-500000	3	1	500000	0.917	1.024	0.959	0.953
3:500001-1000000	3	500001	1000000	0.985	0.947	0.983	1.078
3:1000001-1500000	3	1000001	1500000	1.003	1.018	1.021	0.983
3:1500001-2000000	3	1500001	2000000	1.016	0.973	0.913	0.868
3:2000001-2500000	3	2000001	2500000	1.101	1.066	1.034	0.982
3:2500001-3000000	3	2500001	3000000	0.972	0.953	1.006	0.965
3:3000001-3500000	3	3000001	3500000	0.966	1.013	0.884	0.977
3:4000001-4500000	3	4000001	4500000	0.995	1.043	0.993	1.127
3:4500001-5000000	3	4500001	5000000	0.959	0.999	0.867	0.979
3:5000001-5500000	3	5000001	5500000	0.985	1.071	0.959	0.977
3:5500001-6000000	3	5500001	6000000	1.105	1.138	1.089	1.061
3:6000001-6500000	3	6000001	6500000	1.104	1.088	1.019	1.005
3:6500001-7000000	3	6500001	7000000	1.08	1.032	1.085	1.101
3:7000001-7500000	3	7000001	7500000	1.05	1	1.05	1.045
3:7500001-8000000	3	7500001	8000000	1.051	0.974	0.918	1.015
3:8000001-8500000	3	8000001	8500000	0.965	0.959	1.062	1.086
3:8500001-9000000	3	8500001	9000000	1.064	0.95	1.02	1.097
3:9000001-9500000	3	9000001	9500000	0.965	1.029	1.005	0.911
3:9500001-10000000	3	9500001	10000000	0.987	0.975	0.941	0.902
3:10000001-10500000	3	10000001	10500000	1.035	1.013	0.977	1.047
3:10500001-11000000	3	10500001	11000000	1.103	1.101	0.928	0.973
3:11000001-11500000	3	11000001	11500000	1.055	0.942	0.982	1.001
3:11500001-12000000	3	11500001	12000000	1.119	1.105	0.936	0.969
3:12000001-12500000	3	12000001	12500000	1.042	0.921	0.986	0.972
3:12500001-13000000	3	12500001	13000000	1.039	1.058	0.981	0.934
3:13000001-13500000	3	13000001	13500000	1.097	1.127	1.005	0.961
3:13500001-14000000	3	13500001	14000000	1.148	1.095	1.042	1.021
3:14000001-14500000	3	14000001	14500000	1.019	0.968	0.987	0.924
3:14500001-15000000	3	14500001	15000000	0.979	0.95	1.058	1.017
3:15000001-15500000	3	15000001	15500000	1.02	1.002	1.067	1.089
3:15500001-16000000	3	15500001	16000000	1.082	0.926	0.93	0.999
3:16000001-16500000	3	16000001	16500000	0.952	1.087	0.835	0.888
3:16500001-17000000	3	16500001	17000000	0.989	0.957	1.033	1.017
3:17000001-17500000	3	17000001	17500000	1.036	1.073	1.011	1.017
3:17500001-18000000	3	17500001	18000000	1.037	1.093	1.082	1.122
3:18000001-18500000	3	18000001	18500000	1.138	0.974	1.023	1.009
3:18500001-19000000	3	18500001	19000000	1.016	1.072	1.068	1.135
3:19000001-19500000	3	19000001	19500000	1.127	1.026	1.057	1.086
3:19500001-20000000	3	19500001	20000000	0.972	1.052	0.999	1.042
3:20000001-20500000	3	20000001	20500000	0.997	1.014	0.9	0.935
3:20500001-21000000	3	20500001	21000000	1.006	0.976	0.937	0.963
3:21000001-21500000	3	21000001	21500000	1.026	0.902	1.03	1.01
3:21500001-22000000	3	21500001	22000000	1.074	0.921	0.963	1.105
3:22000001-22500000	3	22000001	22500000	1.049	1.046	1.071	0.979
3:22500001-23000000	3	22500001	23000000	1.095	1.023	1.004	1.006
3:23000001-23500000	3	23000001	23500000	1.156	1.026	0.935	1.027
3:23500001-24000000	3	23500001	24000000	1.032	1.02	1.052	0.942
3:24000001-24500000	3	24000001	24500000	1.086	0.961	1.044	0.945
3:25500001-26000000	3	25500001	26000000	0.973	0.929	0.986	1.022
3:26000001-26500000	3	26000001	26500000	1.124	0.988	1.03	1.06
3:26500001-27000000	3	26500001	27000000	1.044	1.131	1.148	0.94
3:27000001-27500000	3	27000001	27500000	1.007	0.858	1.021	1.007
3:27500001-28000000	3	27500001	28000000	1.004	0.892	1.04	1.074
3:28000001-28500000	3	28000001	28500000	1.072	0.991	1.04	1.07
3:28500001-29000000	3	28500001	29000000	1.069	1.012	1.059	0.953
3:29000001-29500000	3	29000001	29500000	0.979	0.977	0.967	1.004
3:30000001-30500000	3	30000001	30500000	1.024	1.02	1.098	1.093
3:30500001-31000000	3	30500001	31000000	1.047	1.061	0.999	1.012
3:31000001-31500000	3	31000001	31500000	1.059	0.967	1.043	0.966
3:31500001-32000000	3	31500001	32000000	0.951	1.017	1.095	0.972
3:32000001-32500000	3	32000001	32500000	1.015	1.059	0.953	1.097
3:32500001-33000000	3	32500001	33000000	0.945	0.945	0.949	0.957
3:33000001-33500000	3	33000001	33500000	0.983	0.931	0.98	0.969
3:34000001-34500000	3	34000001	34500000	1.053	0.997	1.017	1.027
3:34500001-35000000	3	34500001	35000000	1.015	0.954	0.949	1.01
3:35000001-35500000	3	35000001	35500000	1.057	0.989	0.973	0.939
3:35500001-36000000	3	35500001	36000000	1.031	1.027	0.983	1.104
3:36000001-36500000	3	36000001	36500000	1.254	1.052	0.959	1.039
3:36500001-37000000	3	36500001	37000000	1.068	0.997	0.931	1.104
3:37000001-37500000	3	37000001	37500000	1.033	0.959	0.908	0.976
3:37500001-38000000	3	37500001	38000000	1.039	1.013	0.956	1.076
3:38000001-38500000	3	38000001	38500000	0.989	1.093	0.982	1.129
3:38500001-39000000	3	38500001	39000000	1.068	1.003	1.038	1.051
3:39000001-39500000	3	39000001	39500000	0.972	1.029	0.908	1.121
3:39500001-40000000	3	39500001	40000000	1.151	1.132	0.992	1.157
3:40500001-41000000	3	40500001	41000000	1.068	0.998	1.134	0.934
3:41000001-41500000	3	41000001	41500000	1.022	1.024	1.145	1.094
3:42000001-42500000	3	42000001	42500000	1.034	1.014	1.092	1.007
3:42500001-43000000	3	42500001	43000000	1.067	0.956	0.994	0.99
3:43500001-44000000	3	43500001	44000000	1.071	1.228	1.094	0.934
3:44000001-44500000	3	44000001	44500000	1.045	1.077	0.946	1.008
3:44500001-45000000	3	44500001	45000000	1.025	0.92	0.942	1.037
3:45000001-45500000	3	45000001	45500000	1.106	0.976	1.065	0.97
3:45500001-46000000	3	45500001	46000000	0.957	1.035	0.901	0.986
3:46000001-46500000	3	46000001	46500000	1.012	1.012	0.92	1.063
3:46500001-47000000	3	46500001	47000000	1.018	0.943	1.023	1.011
3:47000001-47500000	3	47000001	47500000	0.938	1.047	0.984	1.011
3:47500001-48000000	3	47500001	48000000	1	1.084	1.123	1.128
3:48000001-48500000	3	48000001	48500000	1.166	0.992	1.076	1.028
3:48500001-49000000	3	48500001	49000000	1.001	0.986	1.119	0.944
3:49500001-50000000	3	49500001	50000000	1.006	1.128	0.987	0.978
3:50000001-50500000	3	50000001	50500000	0.973	1.009	1.023	0.925
3:50500001-51000000	3	50500001	51000000	1.024	1.031	1.031	1.109
3:51000001-51500000	3	51000001	51500000	1.163	0.906	1.157	1.037
3:51500001-52000000	3	51500001	52000000	0.99	0.963	1.099	1.046
3:52000001-52500000	3	52000001	52500000	0.961	0.93	0.934	0.943
3:52500001-53000000	3	52500001	53000000	1.057	0.932	0.981	0.973
3:53000001-53500000	3	53000001	53500000	1.124	1.036	1.014	0.919
3:53500001-54000000	3	53500001	54000000	0.95	0.946	0.993	1.024
3:54000001-54500000	3	54000001	54500000	1.122	1.02	0.965	0.933
3:54500001-55000000	3	54500001	55000000	1.089	0.962	0.986	0.97
3:55000001-55500000	3	55000001	55500000	1.056	1.081	0.958	1.056
3:55500001-56000000	3	55500001	56000000	1.006	1.016	0.956	0.901
3:56000001-56500000	3	56000001	56500000	1.034	0.974	0.945	1.014
3:56500001-57000000	3	56500001	57000000	1.041	0.981	0.982	0.926
3:57000001-57500000	3	57000001	57500000	1.043	1.03	0.983	1.028
3:57500001-58000000	3	57500001	58000000	1.031	1.03	0.963	0.946
3:58000001-58500000	3	58000001	58500000	1.064	0.975	0.937	1.083
3:58500001-59000000	3	58500001	59000000	1.095	1.142	1.101	1.046
3:59000001-59500000	3	59000001	59500000	0.978	1.173	1.072	0.969
3:59500001-60000000	3	59500001	60000000	1.012	0.959	0.958	1.051
3:60000001-60500000	3	60000001	60500000	1.001	1.097	1.141	1.02
3:60500001-61000000	3	60500001	61000000	1.061	1.041	0.893	1.122
3:61000001-61500000	3	61000001	61500000	1.019	1.008	0.999	0.939
3:61500001-62000000	3	61500001	62000000	0.886	1.014	0.98	1.001
3:62000001-62500000	3	62000001	62500000	0.994	0.957	0.963	1.017
3:62500001-63000000	3	62500001	63000000	0.971	0.977	0.978	1.027
3:63000001-63500000	3	63000001	63500000	1.157	1.047	1.014	1.073
3:63500001-64000000	3	63500001	64000000	0.998	1.04	1.05	1.007
3:64000001-64500000	3	64000001	64500000	1.062	0.944	1.029	1.082
3:64500001-65000000	3	64500001	65000000	1.077	1.01	0.952	0.987
3:65000001-65500000	3	65000001	65500000	0.925	1.049	1.012	1.002
3:65500001-66000000	3	65500001	66000000	1.008	0.939	1.015	0.898
3:66000001-66500000	3	66000001	66500000	0.999	1.036	0.969	0.915
3:66500001-67000000	3	66500001	67000000	1.049	1.008	1.002	0.884
3:67000001-67500000	3	67000001	67500000	1.049	0.997	1	0.973
3:67500001-68000000	3	67500001	68000000	1.049	0.892	1.028	0.916
3:68000001-68500000	3	68000001	68500000	0.998	0.916	0.912	1.011
3:69000001-69500000	3	69000001	69500000	1.065	0.965	0.955	1.029
3:69500001-70000000	3	69500001	70000000	1.011	0.952	0.986	0.982
3:70000001-70500000	3	70000001	70500000	1.056	1.047	1.071	1.066
3:70500001-71000000	3	70500001	71000000	0.958	1.055	0.873	1.144
3:71000001-71500000	3	71000001	71500000	0.95	1.07	0.883	0.926
3:71500001-72000000	3	71500001	72000000	0.974	1.039	0.892	0.971
3:72000001-72500000	3	72000001	72500000	0.925	0.95	0.939	1.05
3:72500001-73000000	3	72500001	73000000	0.973	1.003	0.987	0.95
3:73500001-74000000	3	73500001	74000000	1.025	0.987	0.924	1.033
3:74000001-74500000	3	74000001	74500000	0.98	1.02	1.018	1.105
3:74500001-75000000	3	74500001	75000000	1.036	0.918	1.096	0.873
3:76000001-76500000	3	76000001	76500000	1.004	0.935	0.982	0.888
3:76500001-77000000	3	76500001	77000000	1.033	0.846	0.963	1.022
3:77000001-77500000	3	77000001	77500000	1.037	0.974	0.962	0.981
3:77500001-78000000	3	77500001	78000000	1.078	0.971	0.979	0.922
3:78000001-78500000	3	78000001	78500000	1.013	1.05	0.954	1.063
3:78500001-79000000	3	78500001	79000000	0.926	1.012	1.005	1.114
3:79000001-79500000	3	79000001	79500000	0.978	1.034	0.964	1.11
3:79500001-80000000	3	79500001	80000000	0.963	0.873	1.018	0.953
3:80000001-80500000	3	80000001	80500000	0.945	1.046	0.936	0.891
3:80500001-81000000	3	80500001	81000000	0.966	1.037	1.048	0.943
3:81000001-81500000	3	81000001	81500000	0.999	1.075	0.978	1.03
3:81500001-82000000	3	81500001	82000000	0.976	0.996	1.071	1.086
3:82000001-82500000	3	82000001	82500000	1.076	0.972	1.013	0.974
3:83000001-83500000	3	83000001	83500000	1.016	1.069	1.086	0.971
3:83500001-84000000	3	83500001	84000000	1.057	0.927	0.929	0.932
3:84000001-84500000	3	84000001	84500000	0.935	0.935	0.998	0.913
3:84500001-85000000	3	84500001	85000000	1.015	1.001	0.988	0.972
3:85000001-85500000	3	85000001	85500000	1.018	0.944	1.039	0.952
3:85500001-86000000	3	85500001	86000000	1.072	0.965	1.11	0.974
3:86000001-86500000	3	86000001	86500000	0.991	1.007	0.928	0.945
3:86500001-87000000	3	86500001	87000000	1.013	0.96	0.943	0.942
3:87000001-87500000	3	87000001	87500000	1.015	1.031	1.117	1.011
3:87500001-88000000	3	87500001	88000000	1.039	1.031	0.994	1.031
3:88000001-88500000	3	88000001	88500000	1.028	1.018	0.972	0.924
3:88500001-89000000	3	88500001	89000000	1.046	0.978	1.081	0.971
3:89000001-89500000	3	89000001	89500000	1.064	1	1.027	1.087
3:94000001-94500000	3	94000001	94500000	1.062	1.039	0.992	0.989
3:94500001-95000000	3	94500001	95000000	1.04	1.034	0.947	1.05
3:95000001-95500000	3	95000001	95500000	0.975	0.919	0.939	1.011
3:95500001-96000000	3	95500001	96000000	1.005	0.956	0.986	1.016
3:97000001-97500000	3	97000001	97500000	1.054	1.062	1.12	0.87
3:97500001-98000000	3	97500001	98000000	1.037	1.005	1.084	1.069
3:98000001-98500000	3	98000001	98500000	1.042	0.977	0.854	1.047
3:98500001-99000000	3	98500001	99000000	0.993	1.166	0.905	0.928
3:99000001-99500000	3	99000001	99500000	0.95	0.967	0.975	1.019
3:99500001-100000000	3	99500001	100000000	1.062	1.03	0.963	1.13
3:100000001-100500000	3	100000001	100500000	1.081	1.156	0.955	0.967
3:100500001-101000000	3	100500001	101000000	1.014	1.086	1.117	1.078
3:101000001-101500000	3	101000001	101500000	1.043	0.957	0.986	1.054
3:101500001-102000000	3	101500001	102000000	1.041	0.879	0.888	0.843
3:102000001-102500000	3	102000001	102500000	1.03	0.985	1.169	0.979
3:102500001-103000000	3	102500001	103000000	1.033	1.007	0.962	1.037
3:103000001-103500000	3	103000001	103500000	0.982	0.976	1.086	0.913
3:103500001-104000000	3	103500001	104000000	0.926	1.066	0.942	0.987
3:104000001-104500000	3	104000001	104500000	0.933	1.066	0.87	0.886
3:104500001-105000000	3	104500001	105000000	1.009	0.941	0.945	0.936
3:105000001-105500000	3	105000001	105500000	1.015	1.019	1.041	0.988
3:105500001-106000000	3	105500001	106000000	0.983	0.953	0.993	0.9
3:106000001-106500000	3	106000001	106500000	0.935	0.926	0.886	1.062
3:107000001-107500000	3	107000001	107500000	1.012	1.03	1.002	0.897
3:107500001-108000000	3	107500001	108000000	1.027	0.955	0.934	0.974
3:108000001-108500000	3	108000001	108500000	1.042	1.011	1.02	1.06
3:108500001-109000000	3	108500001	109000000	0.966	1.006	1.05	1.085
3:109000001-109500000	3	109000001	109500000	1	1.082	1.004	0.944
3:109500001-110000000	3	109500001	110000000	1.104	1.035	1.122	1.062
3:110000001-110500000	3	110000001	110500000	1.051	0.852	0.95	1.018
3:110500001-111000000	3	110500001	111000000	1.023	0.992	0.925	1.013
3:111000001-111500000	3	111000001	111500000	1.074	1.009	1.028	1.005
3:111500001-112000000	3	111500001	112000000	1.026	0.914	1.031	1.061
3:112000001-112500000	3	112000001	112500000	1.07	1.012	0.942	0.962
3:112500001-113000000	3	112500001	113000000	0.976	0.982	0.997	1.032
3:113000001-113500000	3	113000001	113500000	1.069	1.116	1.022	1.059
3:113500001-114000000	3	113500001	114000000	0.975	0.903	0.884	0.882
3:114000001-114500000	3	114000001	114500000	1.029	1.082	1.107	0.973
3:114500001-115000000	3	114500001	115000000	1.132	1.072	1.137	1.048
3:115000001-115500000	3	115000001	115500000	1.016	0.931	0.973	1.07
3:115500001-116000000	3	115500001	116000000	1.083	1.103	0.921	1.002
3:116000001-116500000	3	116000001	116500000	1.105	1.052	1.021	1.097
3:116500001-117000000	3	116500001	117000000	1.081	0.993	1.037	1.006
3:117000001-117500000	3	117000001	117500000	1.03	0.844	1.057	1.019
3:117500001-118000000	3	117500001	118000000	1.045	0.995	0.97	1
3:118000001-118500000	3	118000001	118500000	1.069	0.99	1.018	1.006
3:118500001-119000000	3	118500001	119000000	1.078	1.011	0.938	0.918
3:119000001-119500000	3	119000001	119500000	1.116	1.008	1.023	0.999
3:120000001-120500000	3	120000001	120500000	1.007	1.029	1.097	1.021
3:121000001-121500000	3	121000001	121500000	1.174	1.028	0.985	0.967
3:121500001-122000000	3	121500001	122000000	0.91	1.066	0.929	0.954
3:122000001-122500000	3	122000001	122500000	0.968	1.043	1.029	0.996
3:123000001-123500000	3	123000001	123500000	1.091	0.926	0.939	0.977
3:123500001-124000000	3	123500001	124000000	1.048	0.933	1.102	0.927
3:124000001-124500000	3	124000001	124500000	1.065	1.024	1.034	1.101
3:124500001-125000000	3	124500001	125000000	0.988	0.896	0.924	0.968
3:125000001-125500000	3	125000001	125500000	1.044	0.966	1.067	1.029
3:126000001-126500000	3	126000001	126500000	1.082	0.952	1.039	1.03
3:126500001-127000000	3	126500001	127000000	1.088	1.126	1.096	0.987
3:127500001-128000000	3	127500001	128000000	0.946	0.961	1.057	0.945
3:128000001-128500000	3	128000001	128500000	0.982	1.051	1.023	0.96
3:129000001-129500000	3	129000001	129500000	1.027	0.985	1.072	1.005
3:129500001-130000000	3	129500001	130000000	0.985	1.004	0.984	0.965
3:130500001-131000000	3	130500001	131000000	1.074	1.058	0.968	0.951
3:131000001-131500000	3	131000001	131500000	1.074	1.089	1.041	1.037
3:131500001-132000000	3	131500001	132000000	1.074	1.055	1.076	1.065
3:132000001-132500000	3	132000001	132500000	1.007	1.05	1.119	1.017
3:132500001-133000000	3	132500001	133000000	1.129	0.981	0.863	1.055
3:133000001-133500000	3	133000001	133500000	1.081	1.09	1.049	0.993
3:133500001-134000000	3	133500001	134000000	0.998	1.04	1.164	1.138
3:134000001-134500000	3	134000001	134500000	1.085	1.009	1.106	1.004
3:134500001-135000000	3	134500001	135000000	1.092	1.03	1.051	1.052
3:135000001-135500000	3	135000001	135500000	1.115	1.041	0.992	0.991
3:135500001-136000000	3	135500001	136000000	1.033	1.003	0.969	0.993
3:136000001-136500000	3	136000001	136500000	1.01	0.962	0.922	0.943
3:136500001-137000000	3	136500001	137000000	0.906	0.939	0.936	0.83
3:137500001-138000000	3	137500001	138000000	1.149	1.042	1.016	1.035
3:138000001-138500000	3	138000001	138500000	1.006	1.109	1.156	1.071
3:138500001-139000000	3	138500001	139000000	1.035	0.965	0.837	0.932
3:139000001-139500000	3	139000001	139500000	1.035	1.071	0.959	1.03
3:139500001-140000000	3	139500001	140000000	1.082	1.117	1.036	1.105
3:140000001-140500000	3	140000001	140500000	0.989	0.975	0.915	0.91
3:140500001-141000000	3	140500001	141000000	1.044	0.989	0.899	1.03
3:141000001-141500000	3	141000001	141500000	1.059	1.015	0.979	1.036
3:141500001-142000000	3	141500001	142000000	1.068	1.022	1.027	0.985
3:142000001-142500000	3	142000001	142500000	0.988	0.99	1.041	0.863
3:143000001-143500000	3	143000001	143500000	0.996	0.961	1.015	0.995
3:143500001-144000000	3	143500001	144000000	0.983	0.978	1.105	1.056
3:144000001-144500000	3	144000001	144500000	1.011	0.901	1.037	1.037
3:144500001-145000000	3	144500001	145000000	1.11	0.894	1.083	1.023
3:145000001-145500000	3	145000001	145500000	0.923	1.121	0.93	0.963
3:145500001-146000000	3	145500001	146000000	1.018	1.007	1.039	0.961
3:146000001-146500000	3	146000001	146500000	1.067	0.982	0.933	1.024
3:146500001-147000000	3	146500001	147000000	0.996	1.018	0.989	0.886
3:147000001-147500000	3	147000001	147500000	1.036	0.997	1.024	1.04
3:147500001-148000000	3	147500001	148000000	0.961	0.964	0.99	0.933
3:148000001-148500000	3	148000001	148500000	1.016	1.067	1.039	1.004
3:148500001-149000000	3	148500001	149000000	1.117	0.946	1.005	1.057
3:149000001-149500000	3	149000001	149500000	0.898	0.957	0.972	1.053
3:149500001-150000000	3	149500001	150000000	1.034	0.996	1.04	0.929
3:150000001-150500000	3	150000001	150500000	1.023	1.021	0.957	1.07
3:150500001-151000000	3	150500001	151000000	0.982	1.029	0.948	0.966
3:151000001-151500000	3	151000001	151500000	0.956	0.93	0.972	0.933
3:151500001-152000000	3	151500001	152000000	1.088	1.041	1.036	0.959
3:152000001-152500000	3	152000001	152500000	0.974	0.985	1.061	0.988
3:153000001-153500000	3	153000001	153500000	1.08	1.06	0.948	0.958
3:154000001-154500000	3	154000001	154500000	1.074	1.035	0.951	1.018
3:154500001-155000000	3	154500001	155000000	1.018	0.949	1.02	0.964
3:155000001-155500000	3	155000001	155500000	1.006	0.97	0.932	0.944
3:155500001-156000000	3	155500001	156000000	0.97	1.01	1.001	0.981
3:156000001-156500000	3	156000001	156500000	1.13	0.995	1.059	1.024
3:156500001-157000000	3	156500001	157000000	1.027	0.897	0.978	1.078
3:157000001-157500000	3	157000001	157500000	0.926	1.048	0.928	1.052
3:157500001-158000000	3	157500001	158000000	1.027	0.981	1.009	0.997
3:158000001-158500000	3	158000001	158500000	1.044	0.976	1.071	1.082
3:158500001-159000000	3	158500001	159000000	0.921	1.023	1.023	1.007
3:159000001-159500000	3	159000001	159500000	1.095	0.967	1.106	1.091
3:159500001-160000000	3	159500001	160000000	1.03	0.987	1.04	1.159
3:160000001-160500000	3	160000001	160500000	1.042	1.038	1.056	1.003
3:161000001-161500000	3	161000001	161500000	0.921	1.004	1.07	0.927
3:161500001-162000000	3	161500001	162000000	1.093	1.052	1.025	1.038
3:162000001-162500000	3	162000001	162500000	1.022	0.933	0.962	0.891
3:163000001-163500000	3	163000001	163500000	1.049	0.954	0.975	0.953
3:163500001-164000000	3	163500001	164000000	0.948	0.871	0.911	0.889
3:164000001-164500000	3	164000001	164500000	0.968	0.881	0.967	0.899
3:164500001-165000000	3	164500001	165000000	0.995	1.038	1.042	1.005
3:165000001-165500000	3	165000001	165500000	1.023	0.987	0.966	0.959
3:165500001-166000000	3	165500001	166000000	1.015	0.934	0.935	0.982
3:166500001-167000000	3	166500001	167000000	1.024	0.972	0.942	1.018
3:167000001-167500000	3	167000001	167500000	1.125	0.998	1.006	1.021
3:167500001-168000000	3	167500001	168000000	0.99	0.975	0.974	1.011
3:168000001-168500000	3	168000001	168500000	1.085	1.044	1.167	1.137
3:168500001-169000000	3	168500001	169000000	1.113	1.029	1.061	1.054
3:169000001-169500000	3	169000001	169500000	1.077	0.974	1.011	1.024
3:169500001-170000000	3	169500001	170000000	1.122	1.071	1.086	1.042
3:170000001-170500000	3	170000001	170500000	0.981	0.959	0.987	0.888
3:170500001-171000000	3	170500001	171000000	1.119	1.01	0.995	1.072
3:171000001-171500000	3	171000001	171500000	0.986	0.977	0.972	0.982
3:172000001-172500000	3	172000001	172500000	1.047	0.855	0.996	1.006
3:172500001-173000000	3	172500001	173000000	1.051	1.113	0.912	1.03
3:173000001-173500000	3	173000001	173500000	1.042	0.938	1.03	1.046
3:173500001-174000000	3	173500001	174000000	1.048	0.994	0.973	1.005
3:174000001-174500000	3	174000001	174500000	1.026	0.95	0.975	1.03
3:174500001-175000000	3	174500001	175000000	1.023	0.998	0.946	0.966
3:175000001-175500000	3	175000001	175500000	1.1	0.947	1.142	1.077
3:175500001-176000000	3	175500001	176000000	1.007	1.012	1.094	0.955
3:176000001-176500000	3	176000001	176500000	1.097	1.019	0.965	0.964
3:176500001-177000000	3	176500001	177000000	1.015	0.999	1.099	1.064
3:177500001-178000000	3	177500001	178000000	0.996	1.052	1.108	1.102
3:178000001-178500000	3	178000001	178500000	1.039	0.99	1.064	1.149
3:178500001-179000000	3	178500001	179000000	1.005	1.008	1.058	0.99
3:179000001-179500000	3	179000001	179500000	1.007	0.892	0.948	1.037
3:179500001-180000000	3	179500001	180000000	0.946	0.926	1.033	1.019
3:180000001-180500000	3	180000001	180500000	1.05	1.033	0.974	1.032
3:180500001-181000000	3	180500001	181000000	1.022	0.825	0.858	1.08
3:181000001-181500000	3	181000001	181500000	1.036	0.926	1.039	0.968
3:181500001-182000000	3	181500001	182000000	1.102	0.988	0.851	1.001
3:182000001-182500000	3	182000001	182500000	1.001	1.063	1.129	1.052
3:182500001-183000000	3	182500001	183000000	0.978	0.989	1.118	0.966
3:183000001-183500000	3	183000001	183500000	1.02	0.985	1.104	1.11
3:183500001-184000000	3	183500001	184000000	1.003	0.971	0.946	1.028
3:184000001-184500000	3	184000001	184500000	1.054	0.911	0.996	0.951
3:184500001-185000000	3	184500001	185000000	1.007	1.07	1.063	0.902
3:185000001-185500000	3	185000001	185500000	1.039	1.008	1.05	0.966
3:185500001-186000000	3	185500001	186000000	1.03	0.978	0.999	0.988
3:186000001-186500000	3	186000001	186500000	1.01	1.031	1.005	0.933
3:186500001-187000000	3	186500001	187000000	1.072	1.107	0.902	0.961
3:187000001-187500000	3	187000001	187500000	1.038	1.021	1.175	0.912
3:187500001-188000000	3	187500001	188000000	1.02	0.961	1.12	0.971
3:188000001-188500000	3	188000001	188500000	1.04	1.044	0.927	0.991
3:188500001-189000000	3	188500001	189000000	0.994	1.029	0.918	0.989
3:189000001-189500000	3	189000001	189500000	0.971	1.05	1.011	1.091
3:189500001-190000000	3	189500001	190000000	0.998	0.92	0.943	0.891
3:190000001-190500000	3	190000001	190500000	0.964	0.971	0.984	1.044
3:190500001-191000000	3	190500001	191000000	1.06	0.961	1.012	0.942
3:191000001-191500000	3	191000001	191500000	1.118	0.932	0.942	1.005
3:191500001-192000000	3	191500001	192000000	1.062	1.033	0.984	0.958
3:192000001-192500000	3	192000001	192500000	1.128	1.052	1.091	1.031
3:193000001-193500000	3	193000001	193500000	1.039	0.953	0.954	1.041
3:193500001-194000000	3	193500001	194000000	1.088	0.994	1.049	0.975
3:194000001-194500000	3	194000001	194500000	1.067	0.899	0.933	1.021
3:194500001-195000000	3	194500001	195000000	1.008	1.007	0.948	0.99
3:195000001-195500000	3	195000001	195500000	1.025	1.129	1.049	0.971
3:196000001-196500000	3	196000001	196500000	1.045	0.959	1.019	0.992
3:196500001-197000000	3	196500001	197000000	0.928	0.97	1	1.07
3:197000001-197500000	3	197000001	197500000	1.058	0.918	0.946	1.091
3:197500001-198000000	3	197500001	198000000	1.042	0.969	1.019	0.917
4:500001-1000000	4	500001	1000000	0.901	0.952	1.019	1.025
4:1000001-1500000	4	1000001	1500000	0.933	0.882	0.982	0.969
4:1500001-2000000	4	1500001	2000000	0.982	0.962	0.929	1.025
4:2000001-2500000	4	2000001	2500000	1.04	0.939	0.984	0.975
4:2500001-3000000	4	2500001	3000000	0.976	0.895	1.078	0.964
4:3000001-3500000	4	3000001	3500000	1.001	0.955	1.002	1.014
4:4500001-5000000	4	4500001	5000000	0.96	0.918	1.103	1.066
4:5500001-6000000	4	5500001	6000000	1.107	1.025	1.019	1.05
4:6000001-6500000	4	6000001	6500000	0.985	1.044	1.094	1.037
