feature	chromosome	start	end	SLX-17922.D710tp_D507tp.HC22GBBXY.s_6.r_1	SLX-17922.D711tp_D506tp.HC22GBBXY.s_6.r_1	SLX-16150.D711tp_D508tp.HC22VBBXY.s_3.r_1
1:1000001-1500000	1	1000001	1500000	1.015	1.071	1.036
1:2000001-2500000	1	2000001	2500000	0.987	0.948	1.011
1:3000001-3500000	1	3000001	3500000	0.956	1.006	1.001
1:3500001-4000000	1	3500001	4000000	0.886	1.012	1.015
1:4000001-4500000	1	4000001	4500000	0.901	1.069	0.941
1:4500001-5000000	1	4500001	5000000	0.987	0.993	1.048
1:5000001-5500000	1	5000001	5500000	0.99	1.093	1.011
1:6000001-6500000	1	6000001	6500000	1.128	1.138	1.114
1:6500001-7000000	1	6500001	7000000	0.891	1.001	0.915
1:7000001-7500000	1	7000001	7500000	1.041	1.095	1.053
1:7500001-8000000	1	7500001	8000000	0.876	1.134	1.019
1:8000001-8500000	1	8000001	8500000	0.924	1.093	0.958
1:9000001-9500000	1	9000001	9500000	0.942	0.979	1.049
1:10000001-10500000	1	10000001	10500000	0.924	1	0.932
1:10500001-11000000	1	10500001	11000000	0.925	1.01	0.986
1:11000001-11500000	1	11000001	11500000	1.04	1.14	1.034
1:11500001-12000000	1	11500001	12000000	0.919	0.927	1.009
1:12000001-12500000	1	12000001	12500000	0.928	1.048	0.956
1:13500001-14000000	1	13500001	14000000	1.011	0.965	1.001
1:14000001-14500000	1	14000001	14500000	0.976	1.121	1.027
1:14500001-15000000	1	14500001	15000000	0.981	1.033	1.044
1:15000001-15500000	1	15000001	15500000	0.942	1.063	1.024
1:15500001-16000000	1	15500001	16000000	0.942	0.949	1.005
1:16000001-16500000	1	16000001	16500000	0.958	0.928	1.055
1:17000001-17500000	1	17000001	17500000	0.934	1.001	1.004
1:17500001-18000000	1	17500001	18000000	0.909	1.148	1.108
1:18000001-18500000	1	18000001	18500000	1.001	1.028	1.076
1:18500001-19000000	1	18500001	19000000	0.93	0.941	0.988
1:19000001-19500000	1	19000001	19500000	0.964	1.026	0.996
1:19500001-20000000	1	19500001	20000000	1.047	1.051	1.101
1:20000001-20500000	1	20000001	20500000	0.93	1.074	1.007
1:20500001-21000000	1	20500001	21000000	0.782	0.979	0.942
1:21000001-21500000	1	21000001	21500000	0.951	1.021	0.99
1:21500001-22000000	1	21500001	22000000	1.043	1.068	1.055
1:22000001-22500000	1	22000001	22500000	0.922	1.041	1.137
1:22500001-23000000	1	22500001	23000000	0.954	1.122	1.082
1:23000001-23500000	1	23000001	23500000	0.979	1.014	0.976
1:23500001-24000000	1	23500001	24000000	0.956	1.06	1.115
1:24000001-24500000	1	24000001	24500000	1.054	0.978	1.069
