feature	chromosome	start	end	SLX-17930.D706tp_D502tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D503tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D504tp.H77FWBBXY.s_8.r_1	SLX-17930.D706tp_D505tp.H77FWBBXY.s_8.r_1
3:83000001-83500000	3	83000001	83500000	0.987	0.954	1.027	0.943
3:83500001-84000000	3	83500001	84000000	1.009	0.977	0.954	0.927
3:84000001-84500000	3	84000001	84500000	0.984	0.978	0.976	0.96
3:84500001-85000000	3	84500001	85000000	0.988	0.915	0.949	0.979
3:85000001-85500000	3	85000001	85500000	0.981	1.041	1.034	0.946
3:85500001-86000000	3	85500001	86000000	0.993	0.977	0.999	0.979
3:86000001-86500000	3	86000001	86500000	1.043	1.011	1.015	1.005
3:86500001-87000000	3	86500001	87000000	1.005	0.959	0.96	1.007
3:87000001-87500000	3	87000001	87500000	0.974	0.965	1.039	0.946
3:87500001-88000000	3	87500001	88000000	0.962	0.926	1.008	1.009
3:88000001-88500000	3	88000001	88500000	1.001	0.929	0.986	0.978
3:88500001-89000000	3	88500001	89000000	1.069	0.974	1.014	1.017
3:89000001-89500000	3	89000001	89500000	0.989	1.008	1.071	1.038
3:94000001-94500000	3	94000001	94500000	0.991	0.924	1.017	0.976
3:94500001-95000000	3	94500001	95000000	1.008	0.986	1.048	1.082
3:95000001-95500000	3	95000001	95500000	0.974	0.886	0.95	0.907
3:95500001-96000000	3	95500001	96000000	0.979	0.945	0.984	1.053
3:97000001-97500000	3	97000001	97500000	1.005	1.025	1.055	0.948
3:97500001-98000000	3	97500001	98000000	1.027	0.992	1.06	1.007
3:98000001-98500000	3	98000001	98500000	0.967	0.968	0.989	0.997
3:98500001-99000000	3	98500001	99000000	0.998	0.957	0.98	1.01
3:99000001-99500000	3	99000001	99500000	1.039	1	0.946	0.979
3:99500001-100000000	3	99500001	100000000	1.002	1.085	1.042	1.005
3:100000001-100500000	3	100000001	100500000	1.001	1.011	0.972	1.056
3:100500001-101000000	3	100500001	101000000	1.012	1.044	0.991	1.009
3:101000001-101500000	3	101000001	101500000	1.051	0.968	1.001	0.999
3:101500001-102000000	3	101500001	102000000	0.975	0.914	0.964	0.959
3:102000001-102500000	3	102000001	102500000	1.032	1	1.06	1.043
3:102500001-103000000	3	102500001	103000000	0.964	1.053	1.037	1.053
3:103000001-103500000	3	103000001	103500000	1.004	0.958	0.975	0.986
3:103500001-104000000	3	103500001	104000000	0.958	0.947	0.971	0.928
3:104000001-104500000	3	104000001	104500000	1.015	0.937	0.969	0.944
3:104500001-105000000	3	104500001	105000000	0.947	0.952	1.022	0.939
3:105000001-105500000	3	105000001	105500000	1.001	0.975	0.993	0.994
3:105500001-106000000	3	105500001	106000000	0.957	0.97	0.972	1.004
3:106000001-106500000	3	106000001	106500000	0.952	0.972	1.068	1.026
3:107000001-107500000	3	107000001	107500000	1.049	1.069	1.002	1.016
3:107500001-108000000	3	107500001	108000000	0.958	0.991	1.017	1.016
3:108000001-108500000	3	108000001	108500000	1.003	0.998	1.012	1.075
3:108500001-109000000	3	108500001	109000000	1.046	1.031	0.996	1.053
3:109000001-109500000	3	109000001	109500000	1.017	0.975	1.045	0.959
3:109500001-110000000	3	109500001	110000000	0.997	0.97	0.983	1.057
3:110000001-110500000	3	110000001	110500000	0.992	0.907	1.001	1.024
3:110500001-111000000	3	110500001	111000000	1.033	0.945	0.979	1.017
3:111000001-111500000	3	111000001	111500000	0.986	0.937	0.978	0.936
3:111500001-112000000	3	111500001	112000000	0.997	0.983	1.026	1.018
3:112000001-112500000	3	112000001	112500000	0.958	0.938	1.015	0.962
3:112500001-113000000	3	112500001	113000000	1.018	0.983	0.96	1.016
3:113000001-113500000	3	113000001	113500000	1.069	0.953	1.022	1.002
3:113500001-114000000	3	113500001	114000000	0.925	0.89	0.934	0.887
3:114000001-114500000	3	114000001	114500000	1.001	0.964	0.993	1.044
3:114500001-115000000	3	114500001	115000000	1.036	0.979	1.069	1.054
3:115000001-115500000	3	115000001	115500000	0.999	0.987	0.941	1.075
3:115500001-116000000	3	115500001	116000000	1.018	1.034	1.052	1.042
3:116000001-116500000	3	116000001	116500000	1.011	1.052	1.059	1.004
3:116500001-117000000	3	116500001	117000000	0.989	0.959	1.019	0.968
3:117000001-117500000	3	117000001	117500000	0.884	0.865	0.98	1.025
3:117500001-118000000	3	117500001	118000000	1.067	0.997	1.018	1.028
3:118000001-118500000	3	118000001	118500000	0.981	0.989	1.032	0.976
3:118500001-119000000	3	118500001	119000000	1.034	1.007	0.98	1.028
3:119000001-119500000	3	119000001	119500000	1.015	1.006	1.014	1.011
3:120000001-120500000	3	120000001	120500000	1.056	1	1.019	1.089
3:121000001-121500000	3	121000001	121500000	1.073	1.042	1.01	1.037
3:121500001-122000000	3	121500001	122000000	0.972	0.988	0.92	1.005
3:122000001-122500000	3	122000001	122500000	1.02	0.939	0.93	1.019
3:123000001-123500000	3	123000001	123500000	0.965	0.985	1.01	0.984
3:123500001-124000000	3	123500001	124000000	0.953	0.922	0.938	1.002
3:124000001-124500000	3	124000001	124500000	1.083	0.962	1.05	1.054
3:124500001-125000000	3	124500001	125000000	1.006	0.946	1.025	1.007
3:125000001-125500000	3	125000001	125500000	0.969	0.955	0.947	0.984
3:126000001-126500000	3	126000001	126500000	0.952	0.937	0.992	0.954
3:126500001-127000000	3	126500001	127000000	0.997	0.945	1.022	1.017
3:127500001-128000000	3	127500001	128000000	0.964	0.966	0.943	0.917
3:128000001-128500000	3	128000001	128500000	0.915	0.934	0.943	0.978
3:129000001-129500000	3	129000001	129500000	0.968	1.045	0.957	0.994
3:129500001-130000000	3	129500001	130000000	0.963	0.922	0.94	0.987
3:130500001-131000000	3	130500001	131000000	0.983	1.036	0.949	0.999
3:131000001-131500000	3	131000001	131500000	1.054	1.016	1.028	0.974
3:131500001-132000000	3	131500001	132000000	1.056	1.051	1.065	0.981
3:132000001-132500000	3	132000001	132500000	1.028	0.948	0.997	1.065
3:132500001-133000000	3	132500001	133000000	1.092	1.043	0.992	1.024
3:133000001-133500000	3	133000001	133500000	0.97	1.019	1.006	1.07
3:133500001-134000000	3	133500001	134000000	0.992	0.946	0.968	1.087
3:134000001-134500000	3	134000001	134500000	1.021	0.961	1.061	1.007
3:134500001-135000000	3	134500001	135000000	0.993	0.977	1.039	0.986
3:135000001-135500000	3	135000001	135500000	1.062	1.047	1.109	1.119
3:135500001-136000000	3	135500001	136000000	1.072	1.017	1.061	1.024
3:136000001-136500000	3	136000001	136500000	0.986	0.983	1.011	0.934
3:136500001-137000000	3	136500001	137000000	1.007	0.9	0.969	0.973
3:137500001-138000000	3	137500001	138000000	1.122	1.093	1.105	1.07
3:138000001-138500000	3	138000001	138500000	0.994	0.89	0.988	1.063
3:138500001-139000000	3	138500001	139000000	0.952	0.975	0.975	1.039
3:139000001-139500000	3	139000001	139500000	1.005	1.021	1.052	1.02
3:139500001-140000000	3	139500001	140000000	1.082	0.982	1.044	1.021
3:140000001-140500000	3	140000001	140500000	1.049	0.988	1.015	0.992
3:140500001-141000000	3	140500001	141000000	1.023	0.934	1.002	1.029
3:141000001-141500000	3	141000001	141500000	0.986	0.912	1.005	0.941
3:141500001-142000000	3	141500001	142000000	1.08	1	0.993	1.111
3:142000001-142500000	3	142000001	142500000	0.982	0.893	0.922	0.959
3:143000001-143500000	3	143000001	143500000	0.993	1.019	0.961	1.049
3:143500001-144000000	3	143500001	144000000	1.01	0.959	0.982	1.016
3:144000001-144500000	3	144000001	144500000	1.021	0.977	1.012	0.936
3:144500001-145000000	3	144500001	145000000	1.008	0.983	1.033	0.986
3:145000001-145500000	3	145000001	145500000	1.01	0.907	1.004	0.939
3:145500001-146000000	3	145500001	146000000	0.946	0.991	1.002	0.984
3:146000001-146500000	3	146000001	146500000	0.994	0.954	1.044	0.99
3:146500001-147000000	3	146500001	147000000	0.993	0.949	0.985	1.012
3:147000001-147500000	3	147000001	147500000	0.972	0.945	0.944	0.984
3:147500001-148000000	3	147500001	148000000	1.028	0.982	1.038	0.922
3:148000001-148500000	3	148000001	148500000	1.035	0.99	1.058	1.086
3:148500001-149000000	3	148500001	149000000	1.01	0.918	0.996	1.032
3:149000001-149500000	3	149000001	149500000	0.958	0.922	0.969	1.007
3:149500001-150000000	3	149500001	150000000	0.938	0.932	0.934	1.025
3:150000001-150500000	3	150000001	150500000	0.958	1.002	0.97	0.989
3:150500001-151000000	3	150500001	151000000	0.966	1.006	0.942	0.998
3:151000001-151500000	3	151000001	151500000	1.039	0.979	1.042	0.974
3:151500001-152000000	3	151500001	152000000	1.007	0.982	0.984	1.028
3:152000001-152500000	3	152000001	152500000	0.994	0.962	0.992	1.009
3:153000001-153500000	3	153000001	153500000	0.971	0.968	0.995	1.016
3:154000001-154500000	3	154000001	154500000	0.997	0.929	0.985	0.998
3:154500001-155000000	3	154500001	155000000	1.011	0.997	1.009	0.976
3:155000001-155500000	3	155000001	155500000	1.048	0.964	1.006	0.915
3:155500001-156000000	3	155500001	156000000	0.95	0.95	0.991	1.013
3:156000001-156500000	3	156000001	156500000	1.047	1.054	1.029	1.031
3:156500001-157000000	3	156500001	157000000	0.979	0.931	0.968	1.027
3:157000001-157500000	3	157000001	157500000	1.031	0.936	0.984	1.014
3:157500001-158000000	3	157500001	158000000	1.036	1.017	1.063	1.112
3:158000001-158500000	3	158000001	158500000	1.063	0.964	1.098	0.994
3:158500001-159000000	3	158500001	159000000	1.023	0.935	0.964	0.952
3:159000001-159500000	3	159000001	159500000	1.037	1.114	1.104	1.142
3:159500001-160000000	3	159500001	160000000	0.978	1.042	1.004	1.032
3:160000001-160500000	3	160000001	160500000	0.973	0.96	0.983	0.926
3:161000001-161500000	3	161000001	161500000	0.963	0.991	0.946	1.038
3:161500001-162000000	3	161500001	162000000	1.018	0.98	0.959	1.007
3:162000001-162500000	3	162000001	162500000	1.038	1.021	0.976	0.975
3:163000001-163500000	3	163000001	163500000	0.969	0.912	0.971	0.981
3:163500001-164000000	3	163500001	164000000	0.978	0.913	0.953	0.931
3:164000001-164500000	3	164000001	164500000	1.04	0.927	1.022	0.951
3:164500001-165000000	3	164500001	165000000	0.994	0.951	0.958	0.949
3:165000001-165500000	3	165000001	165500000	1.01	0.943	0.951	1.046
3:165500001-166000000	3	165500001	166000000	0.927	1.019	0.914	0.951
3:166500001-167000000	3	166500001	167000000	0.967	0.962	0.984	0.95
3:167000001-167500000	3	167000001	167500000	0.911	1.022	0.973	1.059
3:167500001-168000000	3	167500001	168000000	0.992	0.932	0.993	1.05
3:168000001-168500000	3	168000001	168500000	1.044	0.998	1.016	0.997
3:168500001-169000000	3	168500001	169000000	0.984	0.993	1.016	1.034
3:169000001-169500000	3	169000001	169500000	1.029	1.071	1.041	1.025
3:169500001-170000000	3	169500001	170000000	0.963	1.003	0.995	1.039
3:170000001-170500000	3	170000001	170500000	0.947	0.933	0.886	0.968
3:170500001-171000000	3	170500001	171000000	1.117	1.068	1.121	1.072
3:171000001-171500000	3	171000001	171500000	1.02	1.013	0.974	1.008
3:172000001-172500000	3	172000001	172500000	0.957	0.89	1.002	0.94
3:172500001-173000000	3	172500001	173000000	0.942	0.962	0.976	1.009
3:173000001-173500000	3	173000001	173500000	1.054	1.014	0.967	1.022
3:173500001-174000000	3	173500001	174000000	1.055	0.999	0.997	0.996
3:174000001-174500000	3	174000001	174500000	1.017	0.984	1.04	1.003
3:174500001-175000000	3	174500001	175000000	0.972	1.017	0.974	0.963
3:175000001-175500000	3	175000001	175500000	0.995	1.014	1.025	0.984
3:175500001-176000000	3	175500001	176000000	1.029	0.948	0.957	1.012
3:176000001-176500000	3	176000001	176500000	0.972	1.028	1.01	0.973
3:176500001-177000000	3	176500001	177000000	0.964	1.012	0.977	0.985
3:177500001-178000000	3	177500001	178000000	1.004	0.966	0.953	1.02
3:178000001-178500000	3	178000001	178500000	1.04	0.99	1.029	0.98
3:178500001-179000000	3	178500001	179000000	0.988	1.006	1.008	0.996
3:179000001-179500000	3	179000001	179500000	0.978	0.981	0.955	0.925
3:179500001-180000000	3	179500001	180000000	0.971	0.975	1.002	1.026
3:180000001-180500000	3	180000001	180500000	0.988	1.022	1.113	1.037
3:180500001-181000000	3	180500001	181000000	0.928	0.874	0.926	0.95
3:181000001-181500000	3	181000001	181500000	1.033	1.062	1.027	1.038
3:181500001-182000000	3	181500001	182000000	1	0.931	0.966	0.993
3:182000001-182500000	3	182000001	182500000	1.009	1.007	1.052	0.997
3:182500001-183000000	3	182500001	183000000	0.959	0.952	0.997	0.984
3:183000001-183500000	3	183000001	183500000	1.069	0.993	0.94	1.074
3:183500001-184000000	3	183500001	184000000	0.99	1.023	0.963	0.994
3:184000001-184500000	3	184000001	184500000	1.015	1.007	1.024	0.958
3:184500001-185000000	3	184500001	185000000	0.994	0.992	1.045	0.928
3:185000001-185500000	3	185000001	185500000	1.011	1.041	1.022	1.06
3:185500001-186000000	3	185500001	186000000	1.009	0.945	0.988	0.971
3:186000001-186500000	3	186000001	186500000	1.004	1.02	0.984	1.026
3:186500001-187000000	3	186500001	187000000	1.081	1.014	1.043	1.026
3:187000001-187500000	3	187000001	187500000	1.038	1.04	1.043	1.01
3:187500001-188000000	3	187500001	188000000	1.019	0.931	1.041	0.972
3:188000001-188500000	3	188000001	188500000	1.015	0.951	1.04	1.073
3:188500001-189000000	3	188500001	189000000	1.011	0.992	1	1.046
3:189000001-189500000	3	189000001	189500000	1.015	1.014	1.026	1.021
3:189500001-190000000	3	189500001	190000000	0.981	0.961	1.027	0.988
3:190000001-190500000	3	190000001	190500000	1.046	0.92	0.984	1.033
3:190500001-191000000	3	190500001	191000000	1.01	0.969	0.988	1.017
3:191000001-191500000	3	191000001	191500000	1.008	0.95	0.978	1.02
3:191500001-192000000	3	191500001	192000000	1.014	0.966	0.971	0.992
3:192000001-192500000	3	192000001	192500000	0.984	0.981	0.984	0.952
3:193000001-193500000	3	193000001	193500000	0.971	1.015	0.95	0.981
3:193500001-194000000	3	193500001	194000000	0.959	0.925	0.96	1.064
3:194000001-194500000	3	194000001	194500000	0.928	0.909	0.976	0.942
3:194500001-195000000	3	194500001	195000000	1	0.939	0.944	1.043
3:195000001-195500000	3	195000001	195500000	1.053	0.97	0.983	1.039
3:196000001-196500000	3	196000001	196500000	0.947	0.953	0.941	1.01
3:196500001-197000000	3	196500001	197000000	0.978	0.973	0.908	0.931
3:197000001-197500000	3	197000001	197500000	1.004	0.977	1.028	0.95
3:197500001-198000000	3	197500001	198000000	0.982	0.965	0.937	1.014
4:500001-1000000	4	500001	1000000	0.995	0.976	1	1.006
4:1000001-1500000	4	1000001	1500000	0.982	0.922	0.945	0.988
4:1500001-2000000	4	1500001	2000000	0.949	1.001	0.931	1.004
4:2000001-2500000	4	2000001	2500000	1.013	0.991	0.994	1.007
4:2500001-3000000	4	2500001	3000000	0.981	0.938	0.945	0.959
4:3000001-3500000	4	3000001	3500000	0.98	0.975	1.078	0.964
4:4500001-5000000	4	4500001	5000000	1.075	1.031	1.012	0.933
4:5500001-6000000	4	5500001	6000000	1.1	1.105	1.137	1.052
4:6000001-6500000	4	6000001	6500000	0.965	0.922	1.092	1.039
4:6500001-7000000	4	6500001	7000000	0.963	1.001	0.95	0.951
4:7000001-7500000	4	7000001	7500000	1.029	0.981	1.065	0.998
4:7500001-8000000	4	7500001	8000000	0.998	1.018	1	0.987
4:8000001-8500000	4	8000001	8500000	1.037	0.952	0.995	1.012
4:8500001-9000000	4	8500001	9000000	1.198	1.173	1.18	1.109
4:10000001-10500000	4	10000001	10500000	0.922	0.937	0.926	0.842
4:10500001-11000000	4	10500001	11000000	1.044	0.984	1.025	1.03
4:11000001-11500000	4	11000001	11500000	1.106	1.093	1.067	1.107
4:11500001-12000000	4	11500001	12000000	1.02	1.053	1.004	0.989
4:12000001-12500000	4	12000001	12500000	1.077	0.994	1.004	1.025
4:13000001-13500000	4	13000001	13500000	1.037	0.961	1.001	0.966
4:13500001-14000000	4	13500001	14000000	1.012	0.979	0.951	0.984
4:14000001-14500000	4	14000001	14500000	1.04	1.034	1.052	1.058
4:15000001-15500000	4	15000001	15500000	1.039	1.041	1.014	1.034
4:15500001-16000000	4	15500001	16000000	1.014	0.953	0.964	0.962
4:16000001-16500000	4	16000001	16500000	1.025	1.022	1.017	1.073
4:16500001-17000000	4	16500001	17000000	1.029	1.064	1.038	1.064
4:17500001-18000000	4	17500001	18000000	0.94	0.946	0.887	0.897
4:18000001-18500000	4	18000001	18500000	1.042	0.977	1.03	1.037
4:19000001-19500000	4	19000001	19500000	1.024	1.005	1.002	0.999
4:19500001-20000000	4	19500001	20000000	1.026	1.045	0.961	0.995
4:20000001-20500000	4	20000001	20500000	0.982	1.02	0.987	1.038
4:20500001-21000000	4	20500001	21000000	1.036	0.992	1.023	0.911
4:21000001-21500000	4	21000001	21500000	1.078	1.006	0.986	1.007
4:21500001-22000000	4	21500001	22000000	1.025	1.04	1.024	0.937
4:22000001-22500000	4	22000001	22500000	1.084	1.078	1.034	1.015
4:23000001-23500000	4	23000001	23500000	1.088	1.058	1.038	1.007
4:23500001-24000000	4	23500001	24000000	1.048	1.017	1.041	0.968
4:24000001-24500000	4	24000001	24500000	1.123	1.003	1.046	1.022
4:24500001-25000000	4	24500001	25000000	0.998	0.981	0.976	1.015
4:25000001-25500000	4	25000001	25500000	0.951	0.952	0.961	1.001
4:26000001-26500000	4	26000001	26500000	1.003	0.967	0.984	0.94
4:26500001-27000000	4	26500001	27000000	1.031	0.96	1.001	1.052
4:27000001-27500000	4	27000001	27500000	1.058	1.024	1.043	1.004
4:28000001-28500000	4	28000001	28500000	0.978	0.984	0.964	0.904
4:28500001-29000000	4	28500001	29000000	0.988	0.967	0.981	1.022
4:29000001-29500000	4	29000001	29500000	1.023	1.045	0.988	0.991
4:29500001-30000000	4	29500001	30000000	1.055	0.954	1.055	0.995
4:30000001-30500000	4	30000001	30500000	1.047	0.999	0.957	1.004
4:31000001-31500000	4	31000001	31500000	1.029	0.989	0.922	0.916
4:31500001-32000000	4	31500001	32000000	1.012	0.995	1.018	0.941
4:32500001-33000000	4	32500001	33000000	0.99	0.97	0.925	0.974
4:33000001-33500000	4	33000001	33500000	1.024	0.999	0.964	0.931
4:33500001-34000000	4	33500001	34000000	1.079	1.04	0.976	0.941
4:34000001-34500000	4	34000001	34500000	1.05	0.995	0.933	0.999
4:34500001-35000000	4	34500001	35000000	1.046	0.933	0.963	1.002
4:35000001-35500000	4	35000001	35500000	0.977	0.957	0.967	0.96
4:35500001-36000000	4	35500001	36000000	1.042	0.979	1.013	0.939
4:36000001-36500000	4	36000001	36500000	1.052	1.003	1.083	1.07
4:36500001-37000000	4	36500001	37000000	1.038	0.932	0.978	0.929
4:37000001-37500000	4	37000001	37500000	1.043	1.023	1.056	1.04
4:37500001-38000000	4	37500001	38000000	1.008	0.964	0.962	0.989
4:38000001-38500000	4	38000001	38500000	1.017	0.969	0.99	0.921
4:38500001-39000000	4	38500001	39000000	0.976	1.034	0.902	0.949
4:39000001-39500000	4	39000001	39500000	1.02	0.899	0.944	0.966
4:39500001-40000000	4	39500001	40000000	0.933	0.901	0.87	0.882
4:40000001-40500000	4	40000001	40500000	0.931	0.946	1.011	1.095
4:40500001-41000000	4	40500001	41000000	0.989	1.001	0.957	0.972
4:41500001-42000000	4	41500001	42000000	1.077	1.035	1.022	1.093
4:42000001-42500000	4	42000001	42500000	1.072	1.066	1.054	1.002
4:42500001-43000000	4	42500001	43000000	1.026	0.986	1.057	0.99
4:43000001-43500000	4	43000001	43500000	1.012	0.989	1.058	0.98
4:43500001-44000000	4	43500001	44000000	1.023	0.947	0.981	0.985
4:44000001-44500000	4	44000001	44500000	1.048	0.979	0.974	0.94
4:44500001-45000000	4	44500001	45000000	0.975	1.073	1.042	0.966
4:45000001-45500000	4	45000001	45500000	0.959	0.961	0.96	0.945
4:45500001-46000000	4	45500001	46000000	1.007	1.006	1.002	0.968
4:46000001-46500000	4	46000001	46500000	1.078	1.046	1.025	1.041
4:46500001-47000000	4	46500001	47000000	1.047	1.004	1.068	0.986
4:47000001-47500000	4	47000001	47500000	1.117	1.025	0.955	1.082
4:48000001-48500000	4	48000001	48500000	0.937	0.95	0.931	1.06
4:48500001-49000000	4	48500001	49000000	0.995	0.932	0.965	1.019
4:52000001-52500000	4	52000001	52500000	1.102	1.058	1.086	1.073
4:52500001-53000000	4	52500001	53000000	1.054	1.09	1.123	1.042
4:53000001-53500000	4	53000001	53500000	1.126	1.046	1.046	1.143
4:53500001-54000000	4	53500001	54000000	1.059	1.042	1.025	1.028
4:54000001-54500000	4	54000001	54500000	1.043	0.971	1.043	1.024
4:54500001-55000000	4	54500001	55000000	1.02	1.03	1.023	1.028
4:55500001-56000000	4	55500001	56000000	0.969	1.018	0.979	0.928
4:56000001-56500000	4	56000001	56500000	0.958	0.972	0.973	0.956
4:56500001-57000000	4	56500001	57000000	0.947	0.989	0.948	0.987
4:57000001-57500000	4	57000001	57500000	1.092	1.021	0.994	1.053
4:57500001-58000000	4	57500001	58000000	1.058	1.069	1.029	1.145
4:58000001-58500000	4	58000001	58500000	1.095	1.021	1.008	1.038
4:58500001-59000000	4	58500001	59000000	1.03	1.021	0.988	1.02
4:59000001-59500000	4	59000001	59500000	1.03	1.013	0.932	0.907
4:59500001-60000000	4	59500001	60000000	1.087	1.01	1.002	1.059
4:60000001-60500000	4	60000001	60500000	0.945	0.999	0.967	0.983
4:60500001-61000000	4	60500001	61000000	1.031	1.039	0.971	1.053
4:61000001-61500000	4	61000001	61500000	1.072	0.976	1.006	0.939
4:61500001-62000000	4	61500001	62000000	1.07	1.036	1.064	0.945
4:62000001-62500000	4	62000001	62500000	0.974	0.996	1.009	0.95
4:62500001-63000000	4	62500001	63000000	0.997	0.993	0.9	1.03
4:63000001-63500000	4	63000001	63500000	0.988	0.964	0.959	0.955
4:63500001-64000000	4	63500001	64000000	0.999	0.984	0.948	0.99
4:64000001-64500000	4	64000001	64500000	1.051	0.916	0.966	0.973
4:65000001-65500000	4	65000001	65500000	1.035	0.938	0.987	1.005
4:65500001-66000000	4	65500001	66000000	1.024	1.02	1.051	1.002
4:66500001-67000000	4	66500001	67000000	1.065	1.018	0.972	0.989
4:67000001-67500000	4	67000001	67500000	1.071	1.035	0.995	0.971
4:67500001-68000000	4	67500001	68000000	1.004	0.953	0.966	0.982
4:69500001-70000000	4	69500001	70000000	0.988	0.975	0.975	1.015
4:70000001-70500000	4	70000001	70500000	1.09	0.941	1.02	1.024
4:70500001-71000000	4	70500001	71000000	0.982	0.948	0.916	0.938
4:71000001-71500000	4	71000001	71500000	1.079	1.109	1.044	1.059
4:71500001-72000000	4	71500001	72000000	1.04	0.969	1.013	0.976
4:72000001-72500000	4	72000001	72500000	1.07	1.069	1.041	1.084
4:72500001-73000000	4	72500001	73000000	1.114	1.036	1.021	1.051
4:73000001-73500000	4	73000001	73500000	0.976	0.926	0.95	1.006
4:73500001-74000000	4	73500001	74000000	1.01	0.978	0.97	0.985
4:74000001-74500000	4	74000001	74500000	1.05	1.025	0.972	0.957
4:74500001-75000000	4	74500001	75000000	1.075	1.067	1.091	0.966
4:75500001-76000000	4	75500001	76000000	0.994	0.932	0.898	0.91
4:76000001-76500000	4	76000001	76500000	0.994	0.959	1.004	0.957
4:76500001-77000000	4	76500001	77000000	0.957	0.988	1.012	0.994
4:77000001-77500000	4	77000001	77500000	1.01	1.017	0.978	1.001
4:77500001-78000000	4	77500001	78000000	1.025	0.966	0.984	0.977
4:78500001-79000000	4	78500001	79000000	1.023	1.005	0.944	1.021
4:79000001-79500000	4	79000001	79500000	1.069	0.958	1.05	1.066
4:79500001-80000000	4	79500001	80000000	1.047	1.001	1.053	1.04
4:80000001-80500000	4	80000001	80500000	1.001	0.955	0.95	1.025
4:80500001-81000000	4	80500001	81000000	1.069	1.03	1.098	1.085
4:81000001-81500000	4	81000001	81500000	1.011	1.026	1.055	1.051
4:81500001-82000000	4	81500001	82000000	1.046	1.055	1.017	1.006
4:82000001-82500000	4	82000001	82500000	1.055	1.06	1.074	1.118
4:82500001-83000000	4	82500001	83000000	1.016	1	0.959	1.004
4:83500001-84000000	4	83500001	84000000	0.986	0.911	1.007	1.065
4:84000001-84500000	4	84000001	84500000	1.037	1.018	1.093	0.993
4:84500001-85000000	4	84500001	85000000	0.999	0.958	0.978	1.043
4:85000001-85500000	4	85000001	85500000	1.016	1.082	0.958	1.053
4:85500001-86000000	4	85500001	86000000	1.096	1.005	0.952	1.046
4:86000001-86500000	4	86000001	86500000	1.047	1.015	1.088	1.136
4:86500001-87000000	4	86500001	87000000	1.048	1.002	1.09	1.011
4:87000001-87500000	4	87000001	87500000	0.981	0.921	0.95	0.986
4:87500001-88000000	4	87500001	88000000	1.096	1.043	1.011	1.057
4:88000001-88500000	4	88000001	88500000	0.972	0.939	0.916	0.931
4:88500001-89000000	4	88500001	89000000	1.031	0.988	0.982	1.005
4:89000001-89500000	4	89000001	89500000	1.035	1.018	1.011	0.955
4:90000001-90500000	4	90000001	90500000	1.076	1.073	1.01	1.104
4:90500001-91000000	4	90500001	91000000	1.069	1.063	0.996	1.052
4:91000001-91500000	4	91000001	91500000	1.099	0.999	1.006	1.001
4:91500001-92000000	4	91500001	92000000	1.011	1.075	0.934	1.028
4:92000001-92500000	4	92000001	92500000	1.01	1.022	0.982	0.932
4:93000001-93500000	4	93000001	93500000	1.076	1.045	0.992	1.062
4:93500001-94000000	4	93500001	94000000	1.083	1.104	0.994	1.053
4:94000001-94500000	4	94000001	94500000	1.037	1.009	1.019	0.998
4:94500001-95000000	4	94500001	95000000	0.978	0.981	0.977	1.019
4:95000001-95500000	4	95000001	95500000	1.002	0.999	0.992	1.004
4:95500001-96000000	4	95500001	96000000	1.003	0.961	0.978	1.034
4:96000001-96500000	4	96000001	96500000	1.054	1.044	0.983	0.96
4:96500001-97000000	4	96500001	97000000	1.054	1.032	0.989	0.973
4:97000001-97500000	4	97000001	97500000	1.02	1.032	1.101	0.987
4:97500001-98000000	4	97500001	98000000	1.076	0.986	1.006	0.987
4:98000001-98500000	4	98000001	98500000	1.039	1.066	0.938	1.093
4:98500001-99000000	4	98500001	99000000	1.037	0.983	0.968	1.022
4:99000001-99500000	4	99000001	99500000	1.07	0.969	0.946	0.983
4:99500001-100000000	4	99500001	100000000	0.98	1.013	0.911	0.987
4:100000001-100500000	4	100000001	100500000	1.015	0.974	1.019	1.059
4:100500001-101000000	4	100500001	101000000	1.112	0.998	1.024	0.986
4:101000001-101500000	4	101000001	101500000	1.046	1.031	0.973	1.057
4:101500001-102000000	4	101500001	102000000	1.091	1.102	0.985	0.992
4:102000001-102500000	4	102000001	102500000	1.052	1.022	1.016	1.019
4:103000001-103500000	4	103000001	103500000	1.003	1.033	0.949	0.986
4:103500001-104000000	4	103500001	104000000	1.05	1.07	0.98	1.038
4:104000001-104500000	4	104000001	104500000	1.094	1.008	0.988	1.049
4:104500001-105000000	4	104500001	105000000	1.036	0.969	1.031	1.027
4:105000001-105500000	4	105000001	105500000	1.004	0.98	0.958	1.007
4:105500001-106000000	4	105500001	106000000	1.042	1.025	1.028	1.075
4:106000001-106500000	4	106000001	106500000	0.989	1.002	1.043	1.063
4:106500001-107000000	4	106500001	107000000	1.124	1.078	1.04	1.082
4:107000001-107500000	4	107000001	107500000	1.045	1.014	0.972	0.998
4:108000001-108500000	4	108000001	108500000	0.978	1.077	1	1.005
4:108500001-109000000	4	108500001	109000000	1.013	1.012	1.003	1.001
4:109000001-109500000	4	109000001	109500000	1.019	1.063	0.969	1.055
4:109500001-110000000	4	109500001	110000000	1.002	1.01	0.968	1.026
4:110000001-110500000	4	110000001	110500000	0.99	0.978	1.011	0.969
