feature	chromosome	start	end	SLX-17922.D702tp_D505tp.HC22GBBXY.s_6.r_1	SLX-17922.D702tp_D507tp.HC22GBBXY.s_6.r_1	SLX-17922.D702tp_D508tp.HC22GBBXY.s_6.r_1	SLX-17922.D703tp_D506tp.HC22GBBXY.s_6.r_1
3:57500001-58000000	3	57500001	58000000	1.042	0.927	1.011	0.969
3:58000001-58500000	3	58000001	58500000	0.932	1.081	1.019	1.033
3:58500001-59000000	3	58500001	59000000	1.081	1.129	1.228	1.024
3:59000001-59500000	3	59000001	59500000	1.092	1.081	1.072	0.994
3:59500001-60000000	3	59500001	60000000	1.068	0.962	1.021	1.026
3:60000001-60500000	3	60000001	60500000	1.104	1.071	0.972	0.98
3:60500001-61000000	3	60500001	61000000	1.097	1.063	1.038	1.078
3:61000001-61500000	3	61000001	61500000	1.124	1.016	1.098	0.989
3:61500001-62000000	3	61500001	62000000	0.946	0.923	1.009	0.957
3:62000001-62500000	3	62000001	62500000	0.975	1.081	0.966	0.98
3:62500001-63000000	3	62500001	63000000	1.009	1.039	1.023	0.932
3:63000001-63500000	3	63000001	63500000	1.052	0.984	1.048	0.971
3:63500001-64000000	3	63500001	64000000	0.987	0.994	1.02	1.003
3:64000001-64500000	3	64000001	64500000	1.086	0.888	1.01	0.981
3:64500001-65000000	3	64500001	65000000	1.052	0.962	0.999	1.014
3:65000001-65500000	3	65000001	65500000	1.002	0.981	0.973	1.078
3:65500001-66000000	3	65500001	66000000	1.03	0.97	1.057	1.003
3:66000001-66500000	3	66000001	66500000	0.987	1.013	0.911	0.986
3:66500001-67000000	3	66500001	67000000	1.066	0.949	1.05	0.997
3:67000001-67500000	3	67000001	67500000	1.071	0.978	0.923	0.997
3:67500001-68000000	3	67500001	68000000	1.021	0.979	0.925	1.064
3:68000001-68500000	3	68000001	68500000	0.991	1.118	1.063	1.009
3:69000001-69500000	3	69000001	69500000	0.953	1.027	1.016	1.023
3:69500001-70000000	3	69500001	70000000	1.033	1.141	0.956	0.904
3:70000001-70500000	3	70000001	70500000	1.129	1.017	1.074	0.96
3:70500001-71000000	3	70500001	71000000	1.04	1.017	1.081	0.985
3:71000001-71500000	3	71000001	71500000	0.974	0.949	0.935	0.917
3:71500001-72000000	3	71500001	72000000	0.944	1.016	1.019	0.903
3:72000001-72500000	3	72000001	72500000	1.002	0.923	0.929	0.991
3:72500001-73000000	3	72500001	73000000	0.979	0.937	1.022	0.983
3:73500001-74000000	3	73500001	74000000	0.918	1.07	1.022	1.04
3:74000001-74500000	3	74000001	74500000	1.074	0.974	1.036	0.992
3:74500001-75000000	3	74500001	75000000	0.941	1.05	1.002	0.846
3:76000001-76500000	3	76000001	76500000	1.019	0.918	1.001	0.966
3:76500001-77000000	3	76500001	77000000	0.909	0.937	0.956	0.977
3:77000001-77500000	3	77000001	77500000	1.058	0.993	0.957	0.952
3:77500001-78000000	3	77500001	78000000	1.029	0.997	1.031	0.884
3:78000001-78500000	3	78000001	78500000	0.951	0.911	0.979	1.01
3:78500001-79000000	3	78500001	79000000	1.027	0.957	0.956	1.063
3:79000001-79500000	3	79000001	79500000	1.131	0.988	1.079	0.995
3:79500001-80000000	3	79500001	80000000	0.986	1.083	0.909	1.003
3:80000001-80500000	3	80000001	80500000	1.037	1.008	0.997	0.903
3:80500001-81000000	3	80500001	81000000	0.944	0.862	0.934	1.035
3:81000001-81500000	3	81000001	81500000	0.986	0.988	1.046	1.075
3:81500001-82000000	3	81500001	82000000	1.04	1.005	1.051	1.008
3:82000001-82500000	3	82000001	82500000	1.121	1.051	1.043	1.046
3:83000001-83500000	3	83000001	83500000	1.104	1.018	1.04	0.96
3:83500001-84000000	3	83500001	84000000	1.002	0.949	1.016	0.957
3:84000001-84500000	3	84000001	84500000	0.939	1.011	0.942	0.988
3:84500001-85000000	3	84500001	85000000	0.996	1.03	1.012	0.996
3:85000001-85500000	3	85000001	85500000	1.041	0.95	1.087	0.976
3:85500001-86000000	3	85500001	86000000	1.117	1.066	1.011	1.005
3:86000001-86500000	3	86000001	86500000	0.99	0.92	0.968	1.049
3:86500001-87000000	3	86500001	87000000	1.003	0.997	0.994	0.929
3:87000001-87500000	3	87000001	87500000	1.075	1.034	1.003	0.958
3:87500001-88000000	3	87500001	88000000	0.943	1.021	0.929	1.006
3:88000001-88500000	3	88000001	88500000	1.064	1.022	0.879	1.004
3:88500001-89000000	3	88500001	89000000	1.047	1.003	1.117	1.116
3:89000001-89500000	3	89000001	89500000	1.083	1.064	0.998	0.964
3:94000001-94500000	3	94000001	94500000	0.962	1.029	1.046	1.015
3:94500001-95000000	3	94500001	95000000	1.112	0.966	0.926	1.023
3:95000001-95500000	3	95000001	95500000	0.942	0.963	0.969	0.915
3:95500001-96000000	3	95500001	96000000	0.931	1.002	1.113	0.983
3:97000001-97500000	3	97000001	97500000	1.059	1.016	1.057	0.974
3:97500001-98000000	3	97500001	98000000	1.051	1.076	1.047	1.049
3:98000001-98500000	3	98000001	98500000	1.042	1.014	1.123	0.959
3:98500001-99000000	3	98500001	99000000	1.044	0.917	0.953	0.96
3:99000001-99500000	3	99000001	99500000	0.919	1.056	0.944	1.004
3:99500001-100000000	3	99500001	100000000	1.102	0.958	0.987	0.998
3:100000001-100500000	3	100000001	100500000	0.963	0.98	0.995	1.012
3:100500001-101000000	3	100500001	101000000	1.047	1.052	1.137	0.982
3:101000001-101500000	3	101000001	101500000	1.061	1.008	1.025	0.976
3:101500001-102000000	3	101500001	102000000	1.025	0.904	0.913	0.994
3:102000001-102500000	3	102000001	102500000	0.992	1.002	1.106	1.084
3:102500001-103000000	3	102500001	103000000	0.975	0.988	1.009	1.065
3:103000001-103500000	3	103000001	103500000	1.108	0.98	1.055	0.933
3:103500001-104000000	3	103500001	104000000	1.023	1.1	1.089	0.967
3:104000001-104500000	3	104000001	104500000	0.964	0.921	0.91	0.918
3:104500001-105000000	3	104500001	105000000	1.003	0.974	0.993	0.938
3:105000001-105500000	3	105000001	105500000	1.024	1.073	0.948	0.924
3:105500001-106000000	3	105500001	106000000	1.015	0.988	1.053	1.012
3:106000001-106500000	3	106000001	106500000	1.059	1.002	1.027	1.046
3:107000001-107500000	3	107000001	107500000	1.001	1.06	1.06	0.945
3:107500001-108000000	3	107500001	108000000	1.124	0.953	0.955	1.003
3:108000001-108500000	3	108000001	108500000	1.092	1.029	0.965	0.986
3:108500001-109000000	3	108500001	109000000	1.063	1.029	1.046	1.023
3:109000001-109500000	3	109000001	109500000	1.035	0.925	0.918	1.029
3:109500001-110000000	3	109500001	110000000	1.123	1.046	0.94	0.986
3:110000001-110500000	3	110000001	110500000	0.973	0.868	1.016	0.964
3:110500001-111000000	3	110500001	111000000	1.005	0.989	1.002	1.042
3:111000001-111500000	3	111000001	111500000	1.053	1.04	0.954	1.026
3:111500001-112000000	3	111500001	112000000	1.106	1.004	1.065	0.914
3:112000001-112500000	3	112000001	112500000	1.151	0.964	0.989	0.954
3:112500001-113000000	3	112500001	113000000	1.052	1.133	0.972	0.898
3:113000001-113500000	3	113000001	113500000	1.05	1.074	1.067	1.117
3:113500001-114000000	3	113500001	114000000	0.974	1.037	0.982	0.894
3:114000001-114500000	3	114000001	114500000	1.038	0.951	0.996	1.022
3:114500001-115000000	3	114500001	115000000	1.146	1.118	1.174	1.058
3:115000001-115500000	3	115000001	115500000	1.041	0.987	1.012	1.008
3:115500001-116000000	3	115500001	116000000	1.056	0.969	0.968	1.03
3:116000001-116500000	3	116000001	116500000	1.099	1.05	1.022	1.049
3:116500001-117000000	3	116500001	117000000	1.068	0.96	1.072	0.981
3:117000001-117500000	3	117000001	117500000	1.094	1.033	1.019	0.966
3:117500001-118000000	3	117500001	118000000	1.127	1.09	1.138	0.923
3:118000001-118500000	3	118000001	118500000	1.023	0.988	1.006	0.994
3:118500001-119000000	3	118500001	119000000	1.001	1.085	0.889	0.965
3:119000001-119500000	3	119000001	119500000	1.134	1.032	1.006	1.022
3:120000001-120500000	3	120000001	120500000	0.973	1.106	1.041	0.929
3:121000001-121500000	3	121000001	121500000	1.13	1.119	1.015	1.07
3:121500001-122000000	3	121500001	122000000	1.024	0.961	0.908	1.028
3:122000001-122500000	3	122000001	122500000	1.105	0.996	0.951	1.023
3:123000001-123500000	3	123000001	123500000	1.047	0.991	0.966	0.972
3:123500001-124000000	3	123500001	124000000	1.098	0.989	0.89	0.973
3:124000001-124500000	3	124000001	124500000	1.142	1.024	0.981	1.097
3:124500001-125000000	3	124500001	125000000	1.109	0.886	1.048	0.976
3:125000001-125500000	3	125000001	125500000	1.068	0.978	1.012	0.873
3:126000001-126500000	3	126000001	126500000	1.072	0.916	1.025	0.978
3:126500001-127000000	3	126500001	127000000	1.116	0.983	1.053	1.034
3:127500001-128000000	3	127500001	128000000	0.98	0.923	0.908	1.005
3:128000001-128500000	3	128000001	128500000	1.064	0.977	1.047	0.991
3:129000001-129500000	3	129000001	129500000	0.971	0.982	0.983	0.945
3:129500001-130000000	3	129500001	130000000	1.081	0.956	0.928	0.948
3:130500001-131000000	3	130500001	131000000	1.062	1.041	1.016	1.018
3:131000001-131500000	3	131000001	131500000	1.046	1.04	1.012	1.083
3:131500001-132000000	3	131500001	132000000	1.046	0.974	1.024	1.021
3:132000001-132500000	3	132000001	132500000	1.098	1.049	0.968	1.13
3:132500001-133000000	3	132500001	133000000	1.137	1.092	1.132	1.028
3:133000001-133500000	3	133000001	133500000	1.026	1.027	1.046	1.018
3:133500001-134000000	3	133500001	134000000	1.054	1.107	1.055	0.92
3:134000001-134500000	3	134000001	134500000	1.029	1.042	1.004	0.973
3:134500001-135000000	3	134500001	135000000	1.051	0.964	0.916	0.978
3:135000001-135500000	3	135000001	135500000	1.185	1.096	1.121	1.094
3:135500001-136000000	3	135500001	136000000	1.103	1.061	1.119	1.058
3:136000001-136500000	3	136000001	136500000	0.955	0.98	0.933	1.041
3:136500001-137000000	3	136500001	137000000	1.086	0.952	0.94	0.97
3:137500001-138000000	3	137500001	138000000	1.046	1.183	1.108	1.106
3:138000001-138500000	3	138000001	138500000	1.059	1.064	1.101	1.045
3:138500001-139000000	3	138500001	139000000	1.078	0.935	0.95	0.942
3:139000001-139500000	3	139000001	139500000	1.121	1.094	1.066	1.076
3:139500001-140000000	3	139500001	140000000	1.139	1.254	1.05	0.988
3:140000001-140500000	3	140000001	140500000	1.093	1.148	0.946	1.036
3:140500001-141000000	3	140500001	141000000	1.072	0.984	1.103	1.037
3:141000001-141500000	3	141000001	141500000	1.086	0.974	0.985	0.964
3:141500001-142000000	3	141500001	142000000	1.021	1.045	1.033	0.973
3:142000001-142500000	3	142000001	142500000	1.009	1.005	0.828	1.048
3:143000001-143500000	3	143000001	143500000	1.016	1.025	0.988	0.975
3:143500001-144000000	3	143500001	144000000	1.1	1.099	0.997	1.024
3:144000001-144500000	3	144000001	144500000	1.012	1.101	0.972	1.073
3:144500001-145000000	3	144500001	145000000	1.188	0.931	0.965	1.002
3:145000001-145500000	3	145000001	145500000	1.032	1.058	0.977	0.943
3:145500001-146000000	3	145500001	146000000	1.054	1.027	0.986	0.991
3:146000001-146500000	3	146000001	146500000	1.137	0.965	1.033	0.955
3:146500001-147000000	3	146500001	147000000	1.078	1.024	1.007	1.019
3:147000001-147500000	3	147000001	147500000	0.969	0.946	0.944	1.02
3:147500001-148000000	3	147500001	148000000	1.01	1.005	1.024	0.959
3:148000001-148500000	3	148000001	148500000	1.147	0.967	1.048	0.996
3:148500001-149000000	3	148500001	149000000	1.085	1.098	1.113	1.001
3:149000001-149500000	3	149000001	149500000	0.976	0.956	0.878	0.948
3:149500001-150000000	3	149500001	150000000	1.021	0.978	0.949	0.971
3:150000001-150500000	3	150000001	150500000	1.005	1.042	0.994	1.034
3:150500001-151000000	3	150500001	151000000	0.992	0.974	0.915	0.906
3:151000001-151500000	3	151000001	151500000	1.045	0.958	0.999	0.959
3:151500001-152000000	3	151500001	152000000	1.133	0.977	1.012	0.989
3:152000001-152500000	3	152000001	152500000	1.142	1.027	1.036	0.921
3:153000001-153500000	3	153000001	153500000	1.187	0.95	0.899	0.949
3:154000001-154500000	3	154000001	154500000	0.979	0.951	1.002	1.014
3:154500001-155000000	3	154500001	155000000	1.127	1.104	1.093	1.124
3:155000001-155500000	3	155000001	155500000	1.038	1.04	0.982	1.058
3:155500001-156000000	3	155500001	156000000	0.987	0.932	1.065	0.953
3:156000001-156500000	3	156000001	156500000	1.078	1.177	1.034	0.971
3:156500001-157000000	3	156500001	157000000	1.043	0.932	1.049	0.992
3:157000001-157500000	3	157000001	157500000	1.067	0.962	1.042	0.904
3:157500001-158000000	3	157500001	158000000	1.062	1.182	1.06	0.976
3:158000001-158500000	3	158000001	158500000	1.138	0.94	0.972	1.029
3:158500001-159000000	3	158500001	159000000	1.05	1.077	1.005	1.007
3:159000001-159500000	3	159000001	159500000	1.147	1.148	1.188	1.056
3:159500001-160000000	3	159500001	160000000	1.125	1.017	0.981	0.927
3:160000001-160500000	3	160000001	160500000	0.971	1.05	0.986	0.949
3:161000001-161500000	3	161000001	161500000	1.025	0.993	0.971	1.036
3:161500001-162000000	3	161500001	162000000	1.036	0.955	1.01	0.99
3:162000001-162500000	3	162000001	162500000	1.135	0.933	0.881	0.952
3:163000001-163500000	3	163000001	163500000	1.035	0.828	0.978	0.959
3:163500001-164000000	3	163500001	164000000	1.015	0.915	0.791	0.853
3:164000001-164500000	3	164000001	164500000	0.893	0.918	0.938	0.928
3:164500001-165000000	3	164500001	165000000	1.048	1.058	0.922	0.931
3:165000001-165500000	3	165000001	165500000	1.049	1.041	0.929	0.943
3:165500001-166000000	3	165500001	166000000	1.001	1.085	0.919	1.011
3:166500001-167000000	3	166500001	167000000	0.999	1.052	0.914	0.915
3:167000001-167500000	3	167000001	167500000	1.09	1.09	0.924	0.947
3:167500001-168000000	3	167500001	168000000	1.085	0.974	1.112	1.033
3:168000001-168500000	3	168000001	168500000	1.135	1.139	1.113	0.994
3:168500001-169000000	3	168500001	169000000	1.173	1.021	0.928	1.103
3:169000001-169500000	3	169000001	169500000	1.129	1.009	1.089	0.956
3:169500001-170000000	3	169500001	170000000	1.163	0.893	0.975	0.974
3:170000001-170500000	3	170000001	170500000	0.983	0.92	0.979	0.965
3:170500001-171000000	3	170500001	171000000	1.112	1.027	1.252	1.032
3:171000001-171500000	3	171000001	171500000	1.067	0.959	0.915	0.901
3:172000001-172500000	3	172000001	172500000	1.025	0.875	0.956	0.983
3:172500001-173000000	3	172500001	173000000	1.074	0.98	0.9	0.951
3:173000001-173500000	3	173000001	173500000	1.061	1.054	1.002	0.996
3:173500001-174000000	3	173500001	174000000	1.056	1.019	1.045	1.146
3:174000001-174500000	3	174000001	174500000	1.099	0.947	0.94	1.03
3:174500001-175000000	3	174500001	175000000	1.063	0.924	1.012	0.925
3:175000001-175500000	3	175000001	175500000	1.071	1.038	0.999	1.072
3:175500001-176000000	3	175500001	176000000	1.123	1.025	1.012	1.048
3:176000001-176500000	3	176000001	176500000	1.102	1.013	1.051	1.004
3:176500001-177000000	3	176500001	177000000	1.081	1.03	0.964	0.979
3:177500001-178000000	3	177500001	178000000	1.144	0.965	0.94	1.056
3:178000001-178500000	3	178000001	178500000	1.157	1.031	0.935	1.01
3:178500001-179000000	3	178500001	179000000	0.992	0.994	1.093	0.969
3:179000001-179500000	3	179000001	179500000	1.005	0.877	0.88	1.002
3:179500001-180000000	3	179500001	180000000	1.07	0.954	0.978	1.004
3:180000001-180500000	3	180000001	180500000	1.058	1.021	0.999	1.04
3:180500001-181000000	3	180500001	181000000	1.027	0.944	0.865	0.928
3:181000001-181500000	3	181000001	181500000	1.029	0.992	0.984	0.854
3:181500001-182000000	3	181500001	182000000	1.041	0.99	0.951	0.954
3:182000001-182500000	3	182000001	182500000	1.122	1.11	0.948	1.088
3:182500001-183000000	3	182500001	183000000	0.985	0.918	0.993	0.933
3:183000001-183500000	3	183000001	183500000	0.996	0.953	0.971	0.953
3:183500001-184000000	3	183500001	184000000	1.072	0.908	1.026	0.921
3:184000001-184500000	3	184000001	184500000	1.174	0.951	1.011	1.026
3:184500001-185000000	3	184500001	185000000	1.008	0.967	1.013	1.023
3:185000001-185500000	3	185000001	185500000	1.033	1.002	1.04	0.926
3:185500001-186000000	3	185500001	186000000	1.058	0.938	0.927	0.902
3:186000001-186500000	3	186000001	186500000	1.149	1.077	1.012	1.046
3:186500001-187000000	3	186500001	187000000	0.988	1.022	1.046	1.006
3:187000001-187500000	3	187000001	187500000	1.167	0.957	0.97	0.987
3:187500001-188000000	3	187500001	188000000	1.007	0.965	1.048	1.016
3:188000001-188500000	3	188000001	188500000	1.087	1.014	1.062	1.023
3:188500001-189000000	3	188500001	189000000	1.01	1.053	0.96	0.977
3:189000001-189500000	3	189000001	189500000	1.089	1.027	1.034	1.069
3:189500001-190000000	3	189500001	190000000	1.034	1	0.962	1.032
3:190000001-190500000	3	190000001	190500000	1.078	1.055	0.978	1.037
3:190500001-191000000	3	190500001	191000000	1.074	0.998	1.027	0.938
3:191000001-191500000	3	191000001	191500000	1.044	1.014	0.893	0.976
3:191500001-192000000	3	191500001	192000000	0.923	0.916	0.996	1.004
3:192000001-192500000	3	192000001	192500000	1.07	0.975	0.961	0.997
3:193000001-193500000	3	193000001	193500000	1.086	1.043	0.935	0.952
3:193500001-194000000	3	193500001	194000000	1.076	1.121	0.923	0.96
3:194000001-194500000	3	194000001	194500000	1.04	0.911	1.067	0.921
3:194500001-195000000	3	194500001	195000000	1.005	1.077	0.967	0.983
3:195000001-195500000	3	195000001	195500000	1.058	0.947	1.008	1.048
3:196000001-196500000	3	196000001	196500000	1.141	1.003	0.883	0.915
3:196500001-197000000	3	196500001	197000000	1.095	0.998	1.04	0.951
3:197000001-197500000	3	197000001	197500000	1.046	0.974	0.957	0.989
3:197500001-198000000	3	197500001	198000000	1.084	1.004	1.077	1.074
4:500001-1000000	4	500001	1000000	1.04	0.979	0.977	0.999
4:1000001-1500000	4	1000001	1500000	0.937	0.925	0.94	1.068
4:1500001-2000000	4	1500001	2000000	0.9	0.961	0.92	0.882
4:2000001-2500000	4	2000001	2500000	0.997	0.988	1.039	0.986
4:2500001-3000000	4	2500001	3000000	0.875	1	0.942	0.965
4:3000001-3500000	4	3000001	3500000	0.932	1.018	1.015	0.94
4:4500001-5000000	4	4500001	5000000	1.036	0.967	0.996	1.032
4:5500001-6000000	4	5500001	6000000	1.038	1.065	1.027	1.011
4:6000001-6500000	4	6000001	6500000	0.97	1.056	1.05	0.988
4:6500001-7000000	4	6500001	7000000	0.95	1.047	0.922	0.976
4:7000001-7500000	4	7000001	7500000	1.028	1.079	1.064	0.961
4:7500001-8000000	4	7500001	8000000	0.962	1.05	0.965	0.974
4:8000001-8500000	4	8000001	8500000	1.047	0.936	0.897	1.028
4:8500001-9000000	4	8500001	9000000	1.217	1.083	1.076	1.229
4:10000001-10500000	4	10000001	10500000	0.944	0.885	0.927	0.861
4:10500001-11000000	4	10500001	11000000	1.018	1.046	1.12	1.026
4:11000001-11500000	4	11000001	11500000	1.074	1.163	1.093	1.075
4:11500001-12000000	4	11500001	12000000	0.949	0.985	1.006	0.98
4:12000001-12500000	4	12000001	12500000	0.987	0.942	1.027	0.926
4:13000001-13500000	4	13000001	13500000	0.935	0.988	1.027	0.98
4:13500001-14000000	4	13500001	14000000	0.936	0.928	1.066	0.96
4:14000001-14500000	4	14000001	14500000	1.107	1.072	0.969	1.083
4:15000001-15500000	4	15000001	15500000	1.029	1.054	1.01	1.087
4:15500001-16000000	4	15500001	16000000	0.974	0.874	0.852	0.97
4:16000001-16500000	4	16000001	16500000	1.075	1.05	1.029	0.973
4:16500001-17000000	4	16500001	17000000	0.969	1.097	0.944	1.012
4:17500001-18000000	4	17500001	18000000	0.996	0.925	0.958	0.975
4:18000001-18500000	4	18000001	18500000	0.979	1.014	0.991	1.011
4:19000001-19500000	4	19000001	19500000	0.933	1.082	0.952	0.934
4:19500001-20000000	4	19500001	20000000	0.951	0.98	1.047	0.969
4:20000001-20500000	4	20000001	20500000	0.911	1.056	1.046	1.029
4:20500001-21000000	4	20500001	21000000	0.948	1.021	0.931	1.034
4:21000001-21500000	4	21000001	21500000	0.965	1.06	0.939	0.958
4:21500001-22000000	4	21500001	22000000	0.995	0.921	0.879	0.916
4:22000001-22500000	4	22000001	22500000	1.027	1.083	1.052	0.986
4:23000001-23500000	4	23000001	23500000	0.985	0.98	0.954	0.971
4:23500001-24000000	4	23500001	24000000	1.017	0.998	0.978	1.032
4:24000001-24500000	4	24000001	24500000	1.033	1.039	0.977	0.97
4:24500001-25000000	4	24500001	25000000	0.927	1.055	0.946	0.959
4:25000001-25500000	4	25000001	25500000	0.867	1.004	0.918	0.965
4:26000001-26500000	4	26000001	26500000	0.892	0.951	0.954	0.952
4:26500001-27000000	4	26500001	27000000	1.029	0.972	1.07	1.031
4:27000001-27500000	4	27000001	27500000	1.001	1.008	1.158	1.018
4:28000001-28500000	4	28000001	28500000	0.921	0.929	0.974	0.868
4:28500001-29000000	4	28500001	29000000	0.933	0.914	0.911	0.961
4:29000001-29500000	4	29000001	29500000	1.044	0.934	0.967	0.905
4:29500001-30000000	4	29500001	30000000	1.038	0.981	1.027	0.972
4:30000001-30500000	4	30000001	30500000	0.903	1.016	0.909	1.003
4:31000001-31500000	4	31000001	31500000	0.933	1.031	0.933	0.924
4:31500001-32000000	4	31500001	32000000	0.99	0.968	0.958	0.967
4:32500001-33000000	4	32500001	33000000	0.976	0.819	0.995	0.941
4:33000001-33500000	4	33000001	33500000	0.937	0.98	0.964	1.002
4:33500001-34000000	4	33500001	34000000	0.968	0.95	0.928	0.945
4:34000001-34500000	4	34000001	34500000	0.993	0.925	1.009	1.052
4:34500001-35000000	4	34500001	35000000	0.936	1.005	1.016	0.955
4:35000001-35500000	4	35000001	35500000	0.939	1.047	0.937	0.91
4:35500001-36000000	4	35500001	36000000	0.938	0.913	0.966	1.061
4:36000001-36500000	4	36000001	36500000	1.041	0.996	1.133	1.058
4:36500001-37000000	4	36500001	37000000	1.004	0.995	0.904	0.928
4:37000001-37500000	4	37000001	37500000	1.038	0.924	0.988	1.015
4:37500001-38000000	4	37500001	38000000	1.027	1.033	1.047	1.033
4:38000001-38500000	4	38000001	38500000	1.025	1.029	0.884	0.942
4:38500001-39000000	4	38500001	39000000	0.942	0.977	0.915	0.943
4:39000001-39500000	4	39000001	39500000	0.984	0.981	0.953	0.937
4:39500001-40000000	4	39500001	40000000	0.874	0.845	0.94	0.988
4:40000001-40500000	4	40000001	40500000	0.966	1.146	1.121	1.022
4:40500001-41000000	4	40500001	41000000	0.952	0.938	1.019	0.981
4:41500001-42000000	4	41500001	42000000	1.047	1.145	1.033	1.039
4:42000001-42500000	4	42000001	42500000	1.017	1.065	1.003	0.958
4:42500001-43000000	4	42500001	43000000	1	0.94	0.952	1.036
4:43000001-43500000	4	43000001	43500000	0.997	0.967	0.999	1.046
4:43500001-44000000	4	43500001	44000000	0.921	0.911	0.956	0.992
4:44000001-44500000	4	44000001	44500000	1.06	0.985	1.056	1.005
4:44500001-45000000	4	44500001	45000000	0.992	0.891	1.015	1.025
4:45000001-45500000	4	45000001	45500000	0.936	0.892	0.991	0.956
4:45500001-46000000	4	45500001	46000000	0.973	0.933	1.04	1.011
4:46000001-46500000	4	46000001	46500000	1.015	0.955	1.118	1.024
4:46500001-47000000	4	46500001	47000000	1.02	1.017	1.063	0.978
4:47000001-47500000	4	47000001	47500000	0.993	1.039	1.015	0.98
4:48000001-48500000	4	48000001	48500000	0.986	1.062	0.972	0.916
4:48500001-49000000	4	48500001	49000000	1.012	0.942	1.023	0.984
4:52000001-52500000	4	52000001	52500000	1.058	1.069	1.016	1.1
4:52500001-53000000	4	52500001	53000000	1.204	1.064	1.05	1.052
4:53000001-53500000	4	53000001	53500000	1.143	1.191	1.04	1.083
4:53500001-54000000	4	53500001	54000000	1.038	0.912	1.026	1.081
4:54000001-54500000	4	54000001	54500000	1.004	0.92	1.044	0.884
4:54500001-55000000	4	54500001	55000000	1.143	0.991	1.042	1.093
4:55500001-56000000	4	55500001	56000000	0.927	1.058	1.005	1.008
4:56000001-56500000	4	56000001	56500000	0.915	0.969	0.925	0.932
4:56500001-57000000	4	56500001	57000000	0.982	0.966	1	0.943
4:57000001-57500000	4	57000001	57500000	0.999	0.949	1.046	0.975
4:57500001-58000000	4	57500001	58000000	1.023	0.851	1.13	1.063
4:58000001-58500000	4	58000001	58500000	1.024	1.009	1.003	0.934
4:58500001-59000000	4	58500001	59000000	1.081	0.929	0.922	0.974
4:59000001-59500000	4	59000001	59500000	0.879	1.076	0.923	0.984
4:59500001-60000000	4	59500001	60000000	1.019	0.99	0.992	0.958
4:60000001-60500000	4	60000001	60500000	0.972	0.807	0.96	0.921
4:60500001-61000000	4	60500001	61000000	1.066	1.047	1.036	0.979
4:61000001-61500000	4	61000001	61500000	0.937	0.965	1.046	0.959
4:61500001-62000000	4	61500001	62000000	1.005	1.043	0.995	1.002
4:62000001-62500000	4	62000001	62500000	0.98	1.089	1.006	1.005
4:62500001-63000000	4	62500001	63000000	0.944	0.915	0.912	1.016
4:63000001-63500000	4	63000001	63500000	0.983	0.895	0.821	0.95
4:63500001-64000000	4	63500001	64000000	0.953	0.958	0.875	0.974
4:64000001-64500000	4	64000001	64500000	0.893	0.88	0.888	0.981
4:65000001-65500000	4	65000001	65500000	1.032	0.99	0.893	0.959
4:65500001-66000000	4	65500001	66000000	0.909	0.973	1.057	1.041
4:66500001-67000000	4	66500001	67000000	1.007	1.111	0.996	1.009
4:67000001-67500000	4	67000001	67500000	1.088	1.023	0.913	1.058
4:67500001-68000000	4	67500001	68000000	0.912	1.072	1.06	1.059
4:69500001-70000000	4	69500001	70000000	1.007	0.999	1.053	0.955
4:70000001-70500000	4	70000001	70500000	1.016	0.943	1.016	0.982
4:70500001-71000000	4	70500001	71000000	0.863	1.027	0.959	0.971
4:71000001-71500000	4	71000001	71500000	1.101	1.047	1.065	1.051
4:71500001-72000000	4	71500001	72000000	1.074	1.031	1.012	0.952
4:72000001-72500000	4	72000001	72500000	1.073	1.037	1.045	1.043
4:72500001-73000000	4	72500001	73000000	0.947	1.094	1.05	1.028
4:73000001-73500000	4	73000001	73500000	0.981	0.914	0.992	0.966
4:73500001-74000000	4	73500001	74000000	0.997	0.87	1.058	0.987
4:74000001-74500000	4	74000001	74500000	0.937	0.963	1.017	1.035
4:74500001-75000000	4	74500001	75000000	1.032	1.035	1.028	1.01
4:75500001-76000000	4	75500001	76000000	0.941	0.967	0.979	0.915
4:76000001-76500000	4	76000001	76500000	1.084	0.937	1.053	0.974
4:76500001-77000000	4	76500001	77000000	0.972	0.99	1.01	0.914
4:77000001-77500000	4	77000001	77500000	0.989	0.965	1	1.007
4:77500001-78000000	4	77500001	78000000	1.018	0.958	0.988	1.026
4:78500001-79000000	4	78500001	79000000	1.045	0.997	0.949	0.978
4:79000001-79500000	4	79000001	79500000	1.066	0.963	0.976	1.044
4:79500001-80000000	4	79500001	80000000	0.995	1.092	0.996	1.084
4:80000001-80500000	4	80000001	80500000	1.007	1.01	1.045	1.023
4:80500001-81000000	4	80500001	81000000	1.061	1.056	1.015	1.065
4:81000001-81500000	4	81000001	81500000	1.106	1.086	0.971	1.028
4:81500001-82000000	4	81500001	82000000	0.973	1.105	0.956	1.023
4:82000001-82500000	4	82000001	82500000	1.061	0.961	0.99	1.034
4:82500001-83000000	4	82500001	83000000	1.054	1.027	0.961	1.04
4:83500001-84000000	4	83500001	84000000	0.944	0.967	0.93	1
4:84000001-84500000	4	84000001	84500000	1.002	1.146	1.088	1.013
4:84500001-85000000	4	84500001	85000000	1.036	1.058	0.949	0.945
4:85000001-85500000	4	85000001	85500000	0.948	1.069	1.012	1.068
